NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,10650.0,10700.0,-50.0,-0.0046729,10550.0,10650.0,10550.0,523.0,5517950.0,0.0,0.0,523.0,5517950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10700.0,10700.0,0.0,0.0,10700.0,10700.0,10450.0,15003.0,157567400.0,0.0,0.0,15003.0,157567400.0,-11500.0,11500.0,0.0,0.0,-120510001.0,120510000.0,0.0,0.0
27/08/2026,10700.0,10700.0,0.0,0.0,10600.0,10700.0,10500.0,11660.0,122926000.0,0.0,0.0,11660.0,122926000.0,-6200.0,6200.0,0.0,0.0,-65360000.0,65360000.0,0.0,0.0
26/08/2026,10700.0,10700.0,0.0,0.0,10600.0,10700.0,10500.0,22300.0,236650000.0,0.0,0.0,22300.0,236650000.0,-21500.0,21500.0,0.0,0.0,-228170000.0,228170000.0,0.0,0.0
25/08/2026,10700.0,10600.0,100.0,0.00943396,10700.0,10700.0,10700.0,10315.0,110309080.0,0.0,0.0,10315.0,110309080.0,-10001.0,10001.0,0.0,0.0,-107010700.0,107010700.0,0.0,0.0
24/08/2026,10600.0,10600.0,0.0,0.0,10500.0,10600.0,10500.0,600.0,6350000.0,0.0,0.0,600.0,6350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,10600.0,10600.0,0.0,0.0,10550.0,10600.0,10550.0,4401.0,46615950.0,0.0,0.0,4401.0,46615950.0,699.0,-699.0,0.0,0.0,7374050.0,-7374050.0,0.0,0.0
20/08/2026,10600.0,10600.0,0.0,0.0,10600.0,10600.0,10600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,10600.0,10400.0,200.0,0.01923077,10600.0,10600.0,10600.0,100.0,1060000.0,0.0,0.0,100.0,1060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,10400.0,10550.0,-150.0,-0.01421801,10350.0,10600.0,10350.0,4200.0,43615000.0,0.0,0.0,4200.0,43615000.0,2300.0,-1000.0,0.0,-1300.0,23865000.0,-10410000.0,0.0,-13455000.0
17/08/2026,10550.0,10600.0,-50.0,-0.00471698,10550.0,10550.0,10550.0,300.0,3165000.0,0.0,0.0,300.0,3165000.0,-100.0,100.0,0.0,0.0,-1055000.0,1055000.0,0.0,0.0
14/08/2026,10600.0,10450.0,150.0,0.01435407,10700.0,10700.0,10600.0,300.0,3190000.0,0.0,0.0,300.0,3190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,10450.0,10600.0,-150.0,-0.01415094,10600.0,10600.0,10350.0,1200.0,12495000.0,0.0,0.0,1200.0,12495000.0,400.0,300.0,0.0,-700.0,4150000.0,3095000.0,0.0,-7245000.0
12/08/2026,10600.0,10550.0,50.0,0.00473934,10600.0,10600.0,10600.0,101.0,1070550.0,0.0,0.0,101.0,1070550.0,-100.0,100.0,0.0,0.0,-1060001.0,1060000.0,0.0,0.0
11/08/2026,10550.0,10700.0,-150.0,-0.01401869,10700.0,10700.0,10550.0,2204.0,23272800.0,0.0,0.0,2204.0,23272800.0,0.0,0.0,0.0,0.0,10000.0,-10000.0,0.0,0.0
10/08/2026,10700.0,10550.0,150.0,0.01421801,10600.0,10700.0,10350.0,1200.0,12480000.0,0.0,0.0,1200.0,12480000.0,-100.0,100.0,0.0,0.0,-1060000.0,1060000.0,0.0,0.0
07/08/2026,10550.0,10550.0,0.0,0.0,10200.0,10550.0,10200.0,300.0,3095000.0,0.0,0.0,300.0,3095000.0,-200.0,200.0,0.0,0.0,-2040000.0,2040000.0,0.0,0.0
06/08/2026,10550.0,10500.0,50.0,0.0047619,10550.0,10550.0,10550.0,200.0,2110000.0,0.0,0.0,200.0,2110000.0,200.0,-200.0,0.0,0.0,2110000.0,-2110000.0,0.0,0.0
05/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,100.0,1050000.0,0.0,0.0,100.0,1050000.0,-100.0,100.0,0.0,0.0,-1050000.0,1050000.0,0.0,0.0
04/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,10500.0,10200.0,300.0,0.02941176,10500.0,10500.0,10500.0,532.0,5575100.0,0.0,0.0,532.0,5575100.0,-100.0,100.0,0.0,0.0,-1050000.0,1050000.0,0.0,0.0
31/07/2026,10200.0,10800.0,-600.0,-0.05555556,10150.0,10200.0,10100.0,2100.0,21305000.0,0.0,0.0,2100.0,21305000.0,-1300.0,1300.0,0.0,0.0,-13165000.0,13165000.0,0.0,0.0
30/07/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,20.0,204000.0,0.0,0.0,20.0,204000.0,20.0,-20.0,0.0,0.0,204000.0,-204000.0,0.0,0.0
29/07/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,10800.0,10250.0,550.0,0.05365854,10250.0,10800.0,10200.0,125000.0,1349550000.0,0.0,0.0,125000.0,1349550000.0,-700.0,700.0,0.0,0.0,-7150000.0,7150000.0,0.0,0.0
27/07/2026,10250.0,10500.0,-250.0,-0.02380952,10400.0,10400.0,10250.0,200.0,2065000.0,0.0,0.0,200.0,2065000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,10500.0,10450.0,50.0,0.00478469,10500.0,10500.0,10500.0,200.0,2100000.0,0.0,0.0,200.0,2100000.0,-200.0,200.0,0.0,0.0,-2100000.0,2100000.0,0.0,0.0
20/07/2026,10450.0,10450.0,0.0,0.0,10450.0,10450.0,10450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,10450.0,10400.0,50.0,0.00480769,10450.0,10450.0,10450.0,100.0,1045000.0,0.0,0.0,100.0,1045000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,10400.0,10350.0,50.0,0.00483092,10400.0,10400.0,10300.0,1220.0,12617000.0,0.0,0.0,1220.0,12617000.0,-420.0,420.0,0.0,0.0,-4362000.0,4362000.0,0.0,0.0
15/07/2026,10350.0,10300.0,50.0,0.00485437,10350.0,10350.0,10350.0,201.0,2080650.0,0.0,0.0,201.0,2080650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,10300.0,10300.0,0.0,0.0,10300.0,10300.0,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,10300.0,10500.0,-200.0,-0.01904762,10300.0,10500.0,10200.0,3047.0,31357750.0,0.0,0.0,3047.0,31357750.0,-1653.0,1653.0,0.0,0.0,-17047250.0,17047250.0,0.0,0.0
10/07/2026,10500.0,10550.0,-50.0,-0.00473934,10550.0,10550.0,10500.0,401.0,4215750.0,0.0,0.0,401.0,4215750.0,-200.0,200.0,0.0,0.0,-2105000.0,2105000.0,0.0,0.0
09/07/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,100.0,1055000.0,0.0,0.0,100.0,1055000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,10550.0,10400.0,150.0,0.01442308,10550.0,10550.0,10550.0,100.0,1055000.0,0.0,0.0,100.0,1055000.0,-100.0,100.0,0.0,0.0,-1055000.0,1055000.0,0.0,0.0
07/07/2026,10400.0,10350.0,50.0,0.00483092,10500.0,10500.0,10350.0,500.0,5200000.0,0.0,0.0,500.0,5200000.0,-200.0,200.0,0.0,0.0,-2075000.0,2075000.0,0.0,0.0
06/07/2026,10350.0,10450.0,-100.0,-0.00956938,10400.0,10400.0,10350.0,1200.0,12465000.0,0.0,0.0,1200.0,12465000.0,-100.0,100.0,0.0,0.0,-1055000.0,1055000.0,0.0,0.0
03/07/2026,10450.0,10450.0,0.0,0.0,10450.0,10500.0,10450.0,10622.0,111005400.0,0.0,0.0,10622.0,111005400.0,8990.0,-8990.0,0.0,0.0,93945001.0,-93945000.0,0.0,0.0
02/07/2026,10450.0,10450.0,0.0,0.0,10400.0,10450.0,10400.0,11000.0,114900000.0,0.0,0.0,11000.0,114900000.0,8900.0,-8900.0,0.0,0.0,93050000.0,-93050000.0,0.0,0.0
01/07/2026,10450.0,10500.0,-50.0,-0.0047619,10500.0,10500.0,10450.0,2000.0,20950000.0,0.0,0.0,2000.0,20950000.0,200.0,-200.0,0.0,0.0,2050000.0,-2050000.0,0.0,0.0
30/06/2026,10500.0,10550.0,-50.0,-0.00473934,10400.0,10500.0,10400.0,920.0,9588600.0,0.0,0.0,920.0,9588600.0,101.0,-101.0,0.0,0.0,1050400.0,-1050400.0,0.0,0.0
29/06/2026,10550.0,10700.0,-150.0,-0.01401869,10550.0,10550.0,10550.0,500.0,5275000.0,0.0,0.0,500.0,5275000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/06/2026,10700.0,10700.0,0.0,0.0,10700.0,10700.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/06/2026,10700.0,10600.0,100.0,0.00943396,10700.0,10700.0,10700.0,201.0,2150800.0,0.0,0.0,201.0,2150800.0,-201.0,201.0,0.0,0.0,-2150800.0,2150800.0,0.0,0.0
24/06/2026,10600.0,10650.0,-50.0,-0.00469484,10600.0,10600.0,10600.0,100.0,1060000.0,0.0,0.0,100.0,1060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/06/2026,10650.0,11000.0,-350.0,-0.03181818,10600.0,10650.0,10600.0,30901.0,329045300.0,0.0,0.0,30901.0,329045300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/06/2026,11000.0,10550.0,450.0,0.04265403,10250.0,11000.0,10250.0,1000.0,10325000.0,0.0,0.0,1000.0,10325000.0,500.0,-500.0,0.0,0.0,5125000.0,-5125000.0,0.0,0.0
19/06/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,1.0,10300.0,0.0,0.0,1.0,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/06/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/06/2026,10550.0,10550.0,0.0,0.0,10600.0,10600.0,10550.0,20840.0,220852000.0,0.0,0.0,20840.0,220852000.0,20300.0,-20300.0,0.0,0.0,215130000.0,-215130000.0,0.0,0.0
16/06/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,5000.0,52750000.0,0.0,0.0,5000.0,52750000.0,5000.0,-5000.0,0.0,0.0,52750000.0,-52750000.0,0.0,0.0
15/06/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,11700.0,123435000.0,0.0,0.0,11700.0,123435000.0,11700.0,-11700.0,0.0,0.0,123435000.0,-123435000.0,0.0,0.0
12/06/2026,10550.0,10600.0,-50.0,-0.00471698,10600.0,10650.0,10550.0,26600.0,281700000.0,0.0,0.0,26600.0,281700000.0,17600.0,-17600.0,0.0,0.0,186725000.0,-186725000.0,0.0,0.0
11/06/2026,10600.0,10600.0,0.0,0.0,10850.0,10850.0,10600.0,17800.0,188955000.0,0.0,0.0,17800.0,188955000.0,16300.0,-16300.0,0.0,0.0,172705000.0,-172705000.0,0.0,0.0
10/06/2026,10600.0,10600.0,0.0,0.0,10700.0,10700.0,10600.0,11207.0,119795950.0,0.0,0.0,11207.0,119795950.0,11200.0,-11200.0,0.0,0.0,119720000.0,-119720000.0,0.0,0.0
09/06/2026,10600.0,10600.0,0.0,0.0,10500.0,10600.0,10500.0,515.0,5447500.0,0.0,0.0,515.0,5447500.0,314.0,-314.0,0.0,0.0,3317000.0,-3317000.0,0.0,0.0
08/06/2026,10600.0,10650.0,-50.0,-0.00469484,10600.0,10600.0,10600.0,605.0,6413000.0,0.0,0.0,605.0,6413000.0,605.0,-605.0,0.0,0.0,6413000.0,-6413000.0,0.0,0.0
05/06/2026,10650.0,10650.0,0.0,0.0,10650.0,10650.0,10650.0,1000.0,10650000.0,0.0,0.0,1000.0,10650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/06/2026,10650.0,10850.0,-200.0,-0.01843318,10400.0,10650.0,10400.0,7930.0,84342500.0,0.0,0.0,7930.0,84342500.0,6600.0,-6600.0,0.0,0.0,70315000.0,-70315000.0,0.0,0.0
03/06/2026,10850.0,10400.0,450.0,0.04326923,10450.0,10850.0,10450.0,407.0,4302800.0,0.0,0.0,407.0,4302800.0,-207.0,207.0,0.0,0.0,-2172800.0,2172800.0,0.0,0.0
02/06/2026,10400.0,10400.0,0.0,0.0,10450.0,10450.0,10400.0,2000.0,20830000.0,0.0,0.0,2000.0,20830000.0,-700.0,700.0,0.0,0.0,-7305000.0,7305000.0,0.0,0.0
01/06/2026,10400.0,10500.0,-100.0,-0.00952381,10500.0,10500.0,10400.0,1800.0,18770000.0,0.0,0.0,1800.0,18770000.0,-1100.0,1100.0,0.0,0.0,-11470000.0,11470000.0,0.0,0.0
29/05/2026,10500.0,10600.0,-100.0,-0.00943396,10600.0,10600.0,10500.0,300.0,3170000.0,0.0,0.0,300.0,3170000.0,200.0,-200.0,0.0,0.0,2120000.0,-2120000.0,0.0,0.0
28/05/2026,10600.0,10600.0,0.0,0.0,10600.0,10600.0,10600.0,100.0,1060000.0,0.0,0.0,100.0,1060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/05/2026,10600.0,10400.0,200.0,0.01923077,10600.0,10600.0,10600.0,900.0,9540000.0,0.0,0.0,900.0,9540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/05/2026,10400.0,10600.0,-200.0,-0.01886792,10500.0,10500.0,10400.0,621.0,6492200.0,0.0,0.0,621.0,6492200.0,100.0,500.0,0.0,-600.0,1050000.0,5220000.0,0.0,-6270000.0
25/05/2026,10600.0,10450.0,150.0,0.01435407,10600.0,10600.0,10600.0,1401.0,14850600.0,0.0,0.0,1401.0,14850600.0,-1.0,1.0,0.0,0.0,-10600.0,10600.0,0.0,0.0
22/05/2026,10450.0,10650.0,-200.0,-0.01877934,10700.0,10700.0,10450.0,36220.0,381063000.0,0.0,0.0,36220.0,381063000.0,7480.0,-7880.0,0.0,400.0,78742000.0,-82947000.0,0.0,4205000.0
21/05/2026,10650.0,10600.0,50.0,0.00471698,10900.0,10900.0,10650.0,21000.0,223915000.0,0.0,0.0,21000.0,223915000.0,19100.0,-19100.0,0.0,0.0,203250000.0,-203250000.0,0.0,0.0
20/05/2026,10600.0,10500.0,100.0,0.00952381,10600.0,10800.0,10550.0,6509.0,69009950.0,0.0,0.0,6509.0,69009950.0,5700.0,-5700.0,0.0,0.0,60420001.0,-60425000.0,0.0,5000.0
19/05/2026,10500.0,10700.0,-200.0,-0.01869159,10550.0,10550.0,10500.0,5000.0,52650000.0,0.0,0.0,5000.0,52650000.0,1100.0,-1100.0,0.0,0.0,11600000.0,-11600000.0,0.0,0.0
18/05/2026,10700.0,10800.0,-100.0,-0.00925926,10750.0,10750.0,10550.0,23507.0,251631300.0,0.0,0.0,23507.0,251631300.0,15500.0,-15700.0,0.0,200.0,165920001.0,-168060000.0,0.0,2140000.0
15/05/2026,10800.0,10650.0,150.0,0.01408451,10800.0,10800.0,10800.0,10201.0,110170950.0,0.0,0.0,10201.0,110170950.0,10200.0,-10200.0,0.0,0.0,110160000.0,-110160000.0,0.0,0.0
14/05/2026,10650.0,10700.0,-50.0,-0.0046729,10800.0,10800.0,10650.0,2113.0,22584100.0,0.0,0.0,2113.0,22584100.0,1003.0,-903.0,0.0,-100.0,10697099.0,-9632100.0,0.0,-1065000.0
13/05/2026,10700.0,10750.0,-50.0,-0.00465116,10800.0,10800.0,10700.0,3900.0,41800000.0,0.0,0.0,3900.0,41800000.0,2400.0,-2400.0,0.0,0.0,25710000.0,-25710000.0,0.0,0.0
12/05/2026,10750.0,10800.0,-50.0,-0.00462963,10750.0,10800.0,10700.0,23200.0,248765000.0,0.0,0.0,23200.0,248765000.0,20800.0,-20900.0,0.0,100.0,222950000.0,-224025000.0,0.0,1075000.0
11/05/2026,10800.0,10800.0,0.0,0.0,10800.0,10900.0,10700.0,37600.0,405295000.0,0.0,0.0,37600.0,405295000.0,4400.0,-4400.0,0.0,0.0,47060000.0,-47060000.0,0.0,0.0
08/05/2026,10800.0,10900.0,-100.0,-0.00917431,10900.0,10900.0,10750.0,4115.0,44426250.0,0.0,0.0,4115.0,44426250.0,2085.0,-2085.0,0.0,0.0,22478750.0,-22478750.0,0.0,0.0
07/05/2026,10900.0,10850.0,50.0,0.00460829,10850.0,10900.0,10800.0,4900.0,53250000.0,0.0,0.0,4900.0,53250000.0,3000.0,-3000.0,0.0,0.0,32540000.0,-32540000.0,0.0,0.0
06/05/2026,10850.0,10850.0,0.0,0.0,10850.0,10900.0,10800.0,15900.0,172575000.0,0.0,0.0,15900.0,172575000.0,11500.0,-11500.0,0.0,0.0,124725000.0,-124725000.0,0.0,0.0
05/05/2026,10850.0,10850.0,0.0,0.0,10850.0,10850.0,10800.0,15920.0,172706000.0,0.0,0.0,15920.0,172706000.0,11200.0,-11200.0,0.0,0.0,121495000.0,-121495000.0,0.0,0.0
04/05/2026,10850.0,10850.0,0.0,0.0,11000.0,11000.0,10850.0,3903.0,42408350.0,0.0,0.0,3903.0,42408350.0,3898.0,-3898.0,0.0,0.0,42352500.0,-42352500.0,0.0,0.0
29/04/2026,10850.0,10950.0,-100.0,-0.00913242,10900.0,10900.0,10800.0,3124.0,33891600.0,0.0,0.0,3124.0,33891600.0,2400.0,-2300.0,0.0,-100.0,26050000.0,-24960000.0,0.0,-1090000.0
28/04/2026,10950.0,11000.0,-50.0,-0.00454545,10950.0,11000.0,10950.0,4100.0,45010000.0,0.0,0.0,4100.0,45010000.0,1800.0,-1800.0,0.0,0.0,19825000.0,-19825000.0,0.0,0.0
24/04/2026,11000.0,11300.0,-300.0,-0.02654867,11000.0,11100.0,11000.0,5600.0,61680000.0,0.0,0.0,5600.0,61680000.0,1400.0,-1500.0,0.0,100.0,15400000.0,-16500000.0,0.0,1100000.0
23/04/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/04/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/04/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/04/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,510.0,5762500.0,0.0,0.0,510.0,5762500.0,-507.0,507.0,0.0,0.0,-5728750.0,5728750.0,0.0,0.0
17/04/2026,11300.0,11300.0,0.0,0.0,11350.0,11350.0,11300.0,5200.0,58820000.0,0.0,0.0,5200.0,58820000.0,-1500.0,1500.0,0.0,0.0,-17000000.0,17000000.0,0.0,0.0
16/04/2026,11300.0,11350.0,-50.0,-0.00440529,11200.0,11300.0,11150.0,5844.0,65848400.0,0.0,0.0,5844.0,65848400.0,239.0,-239.0,0.0,0.0,2692900.0,-2692900.0,0.0,0.0
15/04/2026,11350.0,11200.0,150.0,0.01339286,11300.0,11400.0,11300.0,5939.0,67234600.0,0.0,0.0,5939.0,67234600.0,-400.0,400.0,0.0,0.0,-4600000.0,4600000.0,0.0,0.0
14/04/2026,11200.0,11200.0,0.0,0.0,11200.0,11200.0,11200.0,1009.0,11297650.0,0.0,0.0,1009.0,11297650.0,-900.0,900.0,0.0,0.0,-10080001.0,10080000.0,0.0,0.0
13/04/2026,11200.0,11150.0,50.0,0.0044843,11150.0,11200.0,11150.0,4016.0,44929600.0,0.0,0.0,4016.0,44929600.0,493.0,-493.0,0.0,0.0,5521200.0,-5521200.0,0.0,0.0
10/04/2026,11150.0,11150.0,0.0,0.0,11150.0,11150.0,11050.0,10604.0,117634400.0,0.0,0.0,10604.0,117634400.0,9200.0,-9200.0,0.0,0.0,101980001.0,-101980000.0,0.0,0.0
09/04/2026,11150.0,11250.0,-100.0,-0.00888889,11300.0,11300.0,11000.0,1203.0,13393900.0,0.0,0.0,1203.0,13393900.0,600.0,-400.0,0.0,-200.0,6655000.0,-4455000.0,0.0,-2200000.0
08/04/2026,11250.0,10800.0,450.0,0.04166667,11300.0,11300.0,11250.0,200.0,2255000.0,0.0,0.0,200.0,2255000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/04/2026,10800.0,11500.0,-700.0,-0.06086957,10950.0,11400.0,10800.0,37024.0,401423050.0,0.0,0.0,37024.0,401423050.0,19613.0,-14813.0,0.0,-4800.0,212781600.0,-160651600.0,0.0,-52130000.0
06/04/2026,11500.0,11500.0,0.0,0.0,10900.0,11500.0,10900.0,5400.0,61500000.0,0.0,0.0,5400.0,61500000.0,-300.0,300.0,0.0,0.0,-3450000.0,3450000.0,0.0,0.0
03/04/2026,11500.0,11500.0,0.0,0.0,11400.0,11500.0,11150.0,17400.0,197240000.0,0.0,0.0,17400.0,197240000.0,1800.0,3200.0,0.0,-5000.0,20715000.0,36285000.0,0.0,-57000000.0
02/04/2026,11500.0,11350.0,150.0,0.01321586,11400.0,11500.0,11400.0,5109.0,58547400.0,0.0,0.0,5109.0,58547400.0,4999.0,-4999.0,0.0,0.0,57288651.0,-57288650.0,0.0,0.0
01/04/2026,11350.0,11400.0,-50.0,-0.00438596,11600.0,11600.0,11350.0,4617.0,52817950.0,0.0,0.0,4617.0,52817950.0,-416.0,416.0,0.0,0.0,-4916600.0,4916600.0,0.0,0.0
31/03/2026,11400.0,11800.0,-400.0,-0.03389831,11600.0,11600.0,11150.0,3706.0,42182850.0,0.0,0.0,3706.0,42182850.0,-2601.0,2601.0,0.0,0.0,-29661600.0,29661600.0,0.0,0.0
30/03/2026,11800.0,11400.0,400.0,0.03508772,11500.0,11800.0,11100.0,3111.0,35341950.0,0.0,0.0,3111.0,35341950.0,806.0,-806.0,0.0,0.0,9305400.0,-9305400.0,0.0,0.0
27/03/2026,11400.0,11400.0,0.0,0.0,11400.0,11400.0,11400.0,1003.0,11434200.0,0.0,0.0,1003.0,11434200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/03/2026,11400.0,11200.0,200.0,0.01785714,11200.0,11400.0,11000.0,4810.0,53668800.0,0.0,0.0,4810.0,53668800.0,-310.0,310.0,0.0,0.0,-3488800.0,3488800.0,0.0,0.0
25/03/2026,11200.0,11200.0,0.0,0.0,11350.0,11500.0,11200.0,4600.0,51630000.0,0.0,0.0,4600.0,51630000.0,3000.0,-3000.0,0.0,0.0,33540000.0,-33540000.0,0.0,0.0
24/03/2026,11200.0,11050.0,150.0,0.01357466,11150.0,11200.0,11150.0,1100.0,12315000.0,0.0,0.0,1100.0,12315000.0,100.0,-100.0,0.0,0.0,1115000.0,-1115000.0,0.0,0.0
23/03/2026,11050.0,11300.0,-250.0,-0.02212389,10900.0,11050.0,10900.0,6900.0,75630000.0,0.0,0.0,6900.0,75630000.0,-3200.0,3200.0,0.0,0.0,-35195000.0,35195000.0,0.0,0.0
20/03/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,9708.0,109700400.0,0.0,0.0,9708.0,109700400.0,3000.0,-5000.0,0.0,2000.0,33900000.0,-56500000.0,0.0,22600000.0
19/03/2026,11300.0,11400.0,-100.0,-0.00877193,11300.0,11300.0,11300.0,12401.0,140131300.0,0.0,0.0,12401.0,140131300.0,9399.0,-9399.0,0.0,0.0,106208700.0,-106208700.0,0.0,0.0
18/03/2026,11400.0,11300.0,100.0,0.00884956,11400.0,11400.0,11400.0,404.0,4604400.0,0.0,0.0,404.0,4604400.0,-100.0,100.0,0.0,0.0,-1139600.0,1139600.0,0.0,0.0
17/03/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,3102.0,35052600.0,0.0,0.0,3102.0,35052600.0,3102.0,-3102.0,0.0,0.0,35052000.0,-35052000.0,0.0,0.0
16/03/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11300.0,18500.0,209050000.0,0.0,0.0,18500.0,209050000.0,17500.0,-17500.0,0.0,0.0,197750000.0,-197750000.0,0.0,0.0
13/03/2026,11300.0,11100.0,200.0,0.01801802,11300.0,11400.0,11300.0,8407.0,95358150.0,0.0,0.0,8407.0,95358150.0,-795.0,795.0,0.0,0.0,-9024250.0,9024250.0,0.0,0.0
12/03/2026,11100.0,11300.0,-200.0,-0.01769912,11300.0,11300.0,11100.0,5202.0,58562500.0,0.0,0.0,5202.0,58562500.0,2100.0,-2100.0,0.0,0.0,23710000.0,-23710000.0,0.0,0.0
11/03/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,11250.0,4300.0,48535000.0,0.0,0.0,4300.0,48535000.0,2400.0,-2400.0,0.0,0.0,27070000.0,-27070000.0,0.0,0.0
10/03/2026,11300.0,11300.0,0.0,0.0,11300.0,11450.0,11150.0,2303.0,26153750.0,0.0,0.0,2303.0,26153750.0,102.0,-102.0,0.0,0.0,1027800.0,-1027800.0,0.0,0.0
09/03/2026,11300.0,11350.0,-50.0,-0.00440529,10900.0,11300.0,10800.0,3180.0,34498000.0,0.0,0.0,3180.0,34498000.0,679.0,-679.0,0.0,0.0,7317150.0,-7317150.0,0.0,0.0
06/03/2026,11350.0,11400.0,-50.0,-0.00438596,11300.0,11350.0,11250.0,2100.0,23745000.0,0.0,0.0,2100.0,23745000.0,900.0,-900.0,0.0,0.0,10155000.0,-10155000.0,0.0,0.0
05/03/2026,11400.0,11050.0,350.0,0.03167421,11350.0,11400.0,11350.0,4500.0,51290000.0,0.0,0.0,4500.0,51290000.0,-300.0,300.0,0.0,0.0,-3410000.0,3410000.0,0.0,0.0
04/03/2026,11050.0,11350.0,-300.0,-0.02643172,11350.0,11350.0,11050.0,2637.0,29187000.0,0.0,0.0,2637.0,29187000.0,1937.0,-1937.0,0.0,0.0,21422000.0,-21422000.0,0.0,0.0
