NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
18/09/2026,25051.005,25300.0,1750.0,0.06916996,25051.005,25051.005,23569.245,401.0,10687000.0,0.0,0.0,401.0,10687000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/09/2026,23430.33,27050.0,-1750.0,-0.06469501,26764.29,26764.29,23430.33,200.0,5420000.0,0.0,0.0,200.0,5420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/09/2026,25051.005,26750.0,300.0,0.01121495,26486.46,26486.46,25051.005,200.0,5565000.0,0.0,0.0,200.0,5565000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/09/2026,24773.175,27950.0,-1200.0,-0.04293381,25884.495,25884.495,24773.175,302.0,8324300.0,0.0,0.0,302.0,8324300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/09/2026,25884.495,27850.0,100.0,0.00359066,25930.8,25930.8,25884.495,200.0,5595000.0,0.0,0.0,200.0,5595000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2026,25791.885,26050.0,1800.0,0.06909789,22735.755,25791.885,22735.755,300.0,8025000.0,0.0,0.0,300.0,8025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,24124.905,26050.0,0.0,0.0,24124.905,24124.905,24124.905,1.0,26050.0,0.0,0.0,1.0,26050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,24124.905,26050.0,0.0,0.0,24124.905,24124.905,24124.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,24124.905,26350.0,-300.0,-0.0113852,24124.905,24124.905,24124.905,100.0,2605000.0,0.0,0.0,100.0,2605000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,24402.735,26350.0,0.0,0.0,24402.735,24402.735,24402.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,24402.735,26350.0,0.0,0.0,24402.735,24402.735,24402.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,24402.735,27000.0,-650.0,-0.02407407,24402.735,24402.735,24402.735,100.0,2635000.0,0.0,0.0,100.0,2635000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,25004.7,27000.0,0.0,0.0,25004.7,25004.7,25004.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,25004.7,28200.0,-1200.0,-0.04255319,26116.02,26116.02,25004.7,214.0,5904000.0,0.0,0.0,214.0,5904000.0,-100.0,100.0,0.0,0.0,-2820000.0,2820000.0,0.0,0.0
26/08/2026,26116.02,28200.0,0.0,0.0,26116.02,26116.02,26116.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,26116.02,29850.0,-1650.0,-0.05527638,29542.59,29542.59,25838.19,1200.0,37510000.0,0.0,0.0,1200.0,37510000.0,-1000.0,1000.0,0.0,0.0,-31900000.0,31900000.0,0.0,0.0
24/08/2026,27644.085,29850.0,0.0,0.0,27644.085,27644.085,27644.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,27644.085,27900.0,1950.0,0.06989247,24263.82,27644.085,24263.82,300.0,8590000.0,0.0,0.0,300.0,8590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,25838.19,27900.0,0.0,0.0,25838.19,25838.19,25838.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,25838.19,29650.0,-1750.0,-0.05902192,25838.19,25838.19,25838.19,100.0,2790000.0,0.0,0.0,100.0,2790000.0,-100.0,100.0,0.0,0.0,-2790000.0,2790000.0,0.0,0.0
18/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,1.0,29650.0,0.0,0.0,1.0,29650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,27458.865,29650.0,0.0,0.0,27412.56,27458.865,27412.56,1200.0,35575000.0,0.0,0.0,1200.0,35575000.0,-1100.0,1100.0,0.0,0.0,-32615000.0,32615000.0,0.0,0.0
03/08/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/07/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,27458.865,29650.0,0.0,0.0,27458.865,27458.865,27458.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,27458.865,31850.0,-2200.0,-0.06907378,27458.865,27458.865,27458.865,1000.0,29650000.0,0.0,0.0,1000.0,29650000.0,-500.0,100.0,0.0,400.0,-14825000.0,2965000.0,0.0,11860000.0
27/07/2026,29496.285,31850.0,0.0,0.0,29496.285,29496.285,29496.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,29496.285,31850.0,0.0,0.0,29496.285,29496.285,29496.285,1.0,30000.0,0.0,0.0,1.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,29496.285,31850.0,0.0,0.0,29496.285,29496.285,29496.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,29496.285,29800.0,2050.0,0.06879195,29172.15,29496.285,29172.15,1743.0,55380700.0,0.0,0.0,1743.0,55380700.0,-1500.0,1500.0,0.0,0.0,-47770001.0,47770000.0,0.0,0.0
21/07/2026,27597.78,29800.0,0.0,0.0,27597.78,27597.78,27597.78,1.0,27750.0,0.0,0.0,1.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,27597.78,29800.0,0.0,0.0,27597.78,27597.78,27597.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,27597.78,32000.0,-2200.0,-0.06875,27597.78,27597.78,27597.78,449.0,13381400.0,0.0,0.0,449.0,13381400.0,-100.0,-100.0,0.0,200.0,-2980001.0,-2980000.0,0.0,5960000.0
16/07/2026,29635.2,32000.0,0.0,0.0,29635.2,29635.2,29635.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,29635.2,32000.0,0.0,0.0,29635.2,29635.2,29635.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,29635.2,32000.0,0.0,0.0,29635.2,29635.2,29635.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,29635.2,30000.0,2000.0,0.06666667,29727.81,29727.81,29635.2,2000.0,64010000.0,0.0,0.0,2000.0,64010000.0,1600.0,300.0,0.0,-1900.0,51200000.0,9600000.0,0.0,-60800000.0
10/07/2026,27783.0,30000.0,0.0,0.0,27783.0,27783.0,27783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2026,27783.0,30000.0,0.0,0.0,27783.0,27783.0,27783.0,100.0,3000000.0,0.0,0.0,100.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,27783.0,30000.0,0.0,0.0,27783.0,27783.0,27783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/07/2026,27783.0,30000.0,0.0,0.0,27783.0,27783.0,27783.0,10.0,280000.0,0.0,0.0,10.0,280000.0,10.0,-10.0,0.0,0.0,280000.0,-280000.0,0.0,0.0
06/07/2026,27783.0,32250.0,-2250.0,-0.06976744,27783.0,27783.0,27783.0,108.0,3240000.0,0.0,0.0,108.0,3240000.0,-100.0,100.0,0.0,0.0,-3000000.0,3000000.0,0.0,0.0
03/07/2026,29866.725,32250.0,0.0,0.0,29866.725,29866.725,29866.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2026,29866.725,32250.0,0.0,0.0,29866.725,29866.725,29866.725,1.0,32250.0,0.0,0.0,1.0,32250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/07/2026,29866.725,30150.0,2100.0,0.06965174,29588.895,29866.725,29588.895,500.0,16070000.0,0.0,0.0,500.0,16070000.0,-500.0,500.0,0.0,0.0,-16070000.0,16070000.0,0.0,0.0
30/06/2026,27921.915,30150.0,0.0,0.0,27921.915,27921.915,27921.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/06/2026,27921.915,30150.0,0.0,0.0,27921.915,27921.915,27921.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/06/2026,27921.915,32400.0,-2250.0,-0.06944444,27921.915,27921.915,27921.915,1100.0,33165000.0,0.0,0.0,1100.0,33165000.0,100.0,-100.0,0.0,0.0,3015000.0,-3015000.0,0.0,0.0
25/06/2026,30005.64,30300.0,2100.0,0.06930693,30005.64,30005.64,30005.64,100.0,3240000.0,0.0,0.0,100.0,3240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/06/2026,28060.83,30300.0,0.0,0.0,28060.83,28060.83,28060.83,101.0,3062000.0,0.0,0.0,101.0,3062000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/06/2026,28060.83,30300.0,0.0,0.0,28060.83,28060.83,28060.83,1.0,28300.0,0.0,0.0,1.0,28300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/06/2026,28060.83,30300.0,0.0,0.0,28060.83,28060.83,28060.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/06/2026,28060.83,32550.0,-2250.0,-0.06912442,28107.135,28107.135,28060.83,1128.0,34201000.0,0.0,0.0,1128.0,34201000.0,-100.0,100.0,0.0,0.0,-3035000.0,3035000.0,0.0,0.0
18/06/2026,30144.555,30450.0,2100.0,0.06896552,30144.555,30144.555,30144.555,258.0,8395000.0,0.0,0.0,258.0,8395000.0,2.0,-2.0,0.0,0.0,65000.0,-65000.0,0.0,0.0
17/06/2026,28199.745,28500.0,1950.0,0.06842105,28199.745,28199.745,28199.745,102.0,3105800.0,0.0,0.0,102.0,3105800.0,2.0,-1.0,0.0,-1.0,60800.0,-30450.0,0.0,-30350.0
16/06/2026,26393.85,30350.0,-1850.0,-0.06095552,29635.2,29635.2,26393.85,1400.0,44450000.0,0.0,0.0,1400.0,44450000.0,1300.0,-1300.0,0.0,0.0,41600000.0,-41600000.0,0.0,0.0
15/06/2026,28107.135,30350.0,0.0,0.0,28107.135,28107.135,28107.135,10.0,310000.0,0.0,0.0,10.0,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/06/2026,28107.135,32600.0,-2250.0,-0.0690184,30468.69,30561.3,28107.135,700.0,22825000.0,0.0,0.0,700.0,22825000.0,100.0,-100.0,0.0,0.0,3035000.0,-3035000.0,0.0,0.0
11/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,11.0,341550.0,0.0,0.0,11.0,341550.0,2.0,-2.0,0.0,0.0,60850.0,-60850.0,0.0,0.0
10/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,2.0,60700.0,0.0,0.0,2.0,60700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,10.0,303500.0,0.0,0.0,10.0,303500.0,4.0,-4.0,0.0,0.0,121400.0,-121400.0,0.0,0.0
03/06/2026,30190.86,32600.0,0.0,0.0,30190.86,30190.86,30190.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/06/2026,30190.86,32600.0,0.0,0.0,30144.555,30190.86,30144.555,200.0,6515000.0,0.0,0.0,200.0,6515000.0,100.0,-100.0,0.0,0.0,3255000.0,-3255000.0,0.0,0.0
01/06/2026,30190.86,31000.0,1600.0,0.0516129,28709.1,30283.47,28709.1,700.0,22670000.0,0.0,0.0,700.0,22670000.0,300.0,0.0,0.0,-300.0,9620000.0,0.0,0.0,-9620000.0
29/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,100.0,3100000.0,0.0,0.0,100.0,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/05/2026,28709.1,29000.0,2000.0,0.06896552,28709.1,28709.1,28709.1,1100.0,34100000.0,0.0,0.0,1100.0,34100000.0,100.0,-100.0,0.0,0.0,3100000.0,-3100000.0,0.0,0.0
25/05/2026,26856.9,29000.0,0.0,0.0,26856.9,26856.9,26856.9,2.0,58000.0,0.0,0.0,2.0,58000.0,2.0,-2.0,0.0,0.0,58000.0,-58000.0,0.0,0.0
22/05/2026,26856.9,29000.0,0.0,0.0,26856.9,26856.9,26856.9,200.0,5800000.0,0.0,0.0,200.0,5800000.0,100.0,-100.0,0.0,0.0,2900000.0,-2900000.0,0.0,0.0
21/05/2026,26856.9,31000.0,-2000.0,-0.06451613,26903.205,26903.205,26856.9,201.0,5833850.0,0.0,0.0,201.0,5833850.0,100.0,100.0,0.0,-200.0,2900000.0,2905000.0,0.0,-5805000.0
20/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,100.0,3100000.0,0.0,0.0,100.0,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/05/2026,28709.1,29800.0,1200.0,0.04026846,28709.1,28709.1,28709.1,101.0,3130000.0,0.0,0.0,101.0,3130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/05/2026,27597.78,32000.0,-2200.0,-0.06875,27597.78,27597.78,27597.78,500.0,14900000.0,0.0,0.0,500.0,14900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/05/2026,29635.2,32000.0,0.0,0.0,29635.2,29635.2,29635.2,3.0,92600.0,0.0,0.0,3.0,92600.0,-2.0,2.0,0.0,0.0,-62801.0,62800.0,0.0,0.0
12/05/2026,29635.2,32000.0,0.0,0.0,29635.2,29635.2,29635.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/05/2026,29635.2,31000.0,1000.0,0.03225806,30514.995,30514.995,26856.9,328.0,10267000.0,0.0,0.0,328.0,10267000.0,225.0,-225.0,0.0,0.0,6877000.0,-6877000.0,0.0,0.0
08/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/05/2026,28709.1,31000.0,0.0,0.0,28709.1,28709.1,28709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/05/2026,28709.1,32500.0,-1500.0,-0.04615385,28709.1,28709.1,28709.1,100.0,3100000.0,0.0,0.0,100.0,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/05/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,1.0,32500.0,0.0,0.0,1.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/05/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/04/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/04/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/04/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/04/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,1.0,32500.0,0.0,0.0,1.0,32500.0,1.0,-1.0,0.0,0.0,32500.0,-32500.0,0.0,0.0
22/04/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/04/2026,30098.25,32500.0,0.0,0.0,30098.25,30098.25,30098.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/04/2026,30098.25,32900.0,-400.0,-0.01215805,30098.25,30098.25,30098.25,200.0,6500000.0,0.0,0.0,200.0,6500000.0,-200.0,0.0,0.0,200.0,-6500000.0,0.0,0.0,6500000.0
17/04/2026,30468.69,31250.0,1650.0,0.0528,30468.69,30468.69,30468.69,105.0,3446000.0,0.0,0.0,105.0,3446000.0,-5.0,5.0,0.0,0.0,-156000.0,156000.0,0.0,0.0
16/04/2026,28940.625,31250.0,0.0,0.0,28940.625,28940.625,28940.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/04/2026,28940.625,29400.0,1850.0,0.06292517,27273.645,28940.625,27273.645,403.0,12052950.0,0.0,0.0,403.0,12052950.0,300.0,-300.0,0.0,0.0,9014850.0,-9014850.0,0.0,0.0
14/04/2026,27227.34,29400.0,0.0,0.0,27227.34,27227.34,27227.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/04/2026,27227.34,29400.0,0.0,0.0,27227.34,27227.34,27227.34,2.0,57400.0,0.0,0.0,2.0,57400.0,-1.0,1.0,0.0,0.0,-29400.0,29400.0,0.0,0.0
10/04/2026,27227.34,27500.0,1900.0,0.06909091,27227.34,27227.34,27227.34,100.0,2940000.0,0.0,0.0,100.0,2940000.0,100.0,-100.0,0.0,0.0,2940000.0,-2940000.0,0.0,0.0
09/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,1.0,29400.0,0.0,0.0,1.0,29400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/04/2026,25467.75,27500.0,0.0,0.0,25467.75,25467.75,25467.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/03/2026,25467.75,27550.0,-50.0,-0.00181488,25514.055,26856.9,25467.75,3000.0,86555000.0,0.0,0.0,3000.0,86555000.0,0.0,0.0,0.0,0.0,-5000.0,5000.0,0.0,0.0
30/03/2026,25514.055,27550.0,0.0,0.0,25514.055,25514.055,25514.055,300.0,8265000.0,0.0,0.0,300.0,8265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/03/2026,25514.055,27550.0,0.0,0.0,25514.055,25514.055,25514.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/03/2026,25514.055,29000.0,-1450.0,-0.05,25930.8,25930.8,25514.055,600.0,16755000.0,0.0,0.0,600.0,16755000.0,100.0,-100.0,0.0,0.0,2755000.0,-2755000.0,0.0,0.0
25/03/2026,26856.9,29000.0,0.0,0.0,26856.9,26856.9,26856.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/03/2026,26856.9,29000.0,0.0,0.0,26856.9,26856.9,26856.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/03/2026,26856.9,30850.0,-1850.0,-0.05996759,26625.375,26856.9,26579.07,1200.0,34715000.0,0.0,0.0,1200.0,34715000.0,-800.0,800.0,0.0,0.0,-23230000.0,23230000.0,0.0,0.0
20/03/2026,28570.185,28850.0,2000.0,0.06932409,26717.985,28570.185,26717.985,2611.0,78924350.0,0.0,0.0,2611.0,78924350.0,-300.0,300.0,0.0,0.0,-8660000.0,8660000.0,0.0,0.0
19/03/2026,26717.985,28850.0,0.0,0.0,26717.985,26717.985,26717.985,10.0,288500.0,0.0,0.0,10.0,288500.0,-8.0,8.0,0.0,0.0,-230801.0,230800.0,0.0,0.0
18/03/2026,26717.985,27000.0,1850.0,0.06851852,25652.97,26717.985,25004.7,3402.0,94347500.0,0.0,0.0,3402.0,94347500.0,-202.0,202.0,0.0,0.0,-5272500.0,5272500.0,0.0,0.0
17/03/2026,25004.7,27000.0,0.0,0.0,25004.7,25004.7,25004.7,1.0,28800.0,0.0,0.0,1.0,28800.0,-1.0,1.0,0.0,0.0,-28000.0,28000.0,0.0,0.0
16/03/2026,25004.7,27900.0,-900.0,-0.03225806,27597.78,27597.78,25004.7,575.0,15888100.0,0.0,0.0,575.0,15888100.0,-197.0,197.0,0.0,0.0,-5595900.0,5595900.0,0.0,0.0
13/03/2026,25838.19,27900.0,0.0,0.0,24541.65,25838.19,24171.21,3804.0,101048000.0,0.0,0.0,3804.0,101048000.0,3001.0,-3001.0,0.0,0.0,79764300.0,-79764300.0,0.0,0.0
12/03/2026,25838.19,28800.0,-900.0,-0.03125,26671.68,26764.29,25838.19,1412.0,40134850.0,0.0,0.0,1412.0,40134850.0,11.0,-11.0,0.0,0.0,316850.0,-316850.0,0.0,0.0
11/03/2026,26671.68,28800.0,0.0,0.0,26671.68,26671.68,26671.68,5.0,144000.0,0.0,0.0,5.0,144000.0,-5.0,5.0,0.0,0.0,-144000.0,144000.0,0.0,0.0
10/03/2026,26671.68,28800.0,0.0,0.0,26671.68,26671.68,26671.68,300.0,8640000.0,0.0,0.0,300.0,8640000.0,-100.0,100.0,0.0,0.0,-2880000.0,2880000.0,0.0,0.0
09/03/2026,26671.68,27100.0,1700.0,0.06273063,26810.595,26810.595,26671.68,2171.0,62711500.0,0.0,0.0,2171.0,62711500.0,2055.0,-2055.0,0.0,0.0,59355400.0,-59355400.0,0.0,0.0
06/03/2026,25097.31,28900.0,-1800.0,-0.06228374,25143.615,25143.615,25097.31,338.0,9237000.0,0.0,0.0,338.0,9237000.0,238.0,-238.0,0.0,0.0,6522000.0,-6522000.0,0.0,0.0
