NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,9770.0,9730.0,40.0,0.004111,9630.0,9810.0,9600.0,9102.0,88018650.0,0.0,0.0,9102.0,88018650.0,-1520.0,1520.0,0.0,0.0,-14639280.0,14639280.0,0.0,0.0
27/08/2026,9730.0,9760.0,-30.0,-0.00307377,9760.0,9760.0,9700.0,21528.0,209539580.0,0.0,0.0,21528.0,209539580.0,-5040.0,5040.0,0.0,0.0,-49110730.0,49110730.0,0.0,0.0
26/08/2026,9760.0,9760.0,0.0,0.0,9700.0,9760.0,9700.0,23679.0,231698520.0,0.0,0.0,23679.0,231698520.0,4471.0,-4471.0,0.0,0.0,42249039.0,-42249040.0,0.0,0.0
25/08/2026,9760.0,9760.0,0.0,0.0,9760.0,9800.0,9730.0,182867.0,1790070980.0,0.0,0.0,182867.0,1790070980.0,6449.0,-6449.0,0.0,0.0,63108240.0,-63108240.0,0.0,0.0
24/08/2026,9760.0,9750.0,10.0,0.00102564,9750.0,9790.0,9700.0,66745.0,650587740.0,0.0,0.0,66745.0,650587740.0,-7300.0,7300.0,0.0,0.0,-70890000.0,70890000.0,0.0,0.0
21/08/2026,9750.0,9680.0,70.0,0.00723141,9680.0,9800.0,9680.0,20039.0,195161300.0,0.0,0.0,20039.0,195161300.0,-3714.0,3714.0,0.0,0.0,-36127361.0,36127360.0,0.0,0.0
20/08/2026,9680.0,9590.0,90.0,0.00938478,9770.0,9770.0,9650.0,4941.0,47944830.0,0.0,0.0,4941.0,47944830.0,1234.0,-1234.0,0.0,0.0,11954100.0,-11954100.0,0.0,0.0
19/08/2026,9590.0,9630.0,-40.0,-0.00415369,9990.0,9990.0,9550.0,95224.0,917757850.0,0.0,0.0,95224.0,917757850.0,778.0,-478.0,0.0,-300.0,7134000.0,-4137000.0,0.0,-2997000.0
18/08/2026,9630.0,9690.0,-60.0,-0.00619195,9690.0,9700.0,9630.0,36713.0,354939630.0,0.0,0.0,36713.0,354939630.0,7090.0,-7090.0,0.0,0.0,68731200.0,-68731200.0,0.0,0.0
17/08/2026,9690.0,9750.0,-60.0,-0.00615385,9750.0,9800.0,9650.0,50558.0,489619540.0,0.0,0.0,50558.0,489619540.0,-8500.0,8500.0,0.0,0.0,-82024000.0,82024000.0,0.0,0.0
14/08/2026,9750.0,9820.0,-70.0,-0.00712831,9800.0,9890.0,9730.0,47366.0,463151520.0,0.0,0.0,47366.0,463151520.0,12380.0,-12380.0,0.0,0.0,121270400.0,-121270400.0,0.0,0.0
13/08/2026,9820.0,9820.0,0.0,0.0,9850.0,9880.0,9780.0,64434.0,631624770.0,0.0,0.0,64434.0,631624770.0,16403.0,-16403.0,0.0,0.0,161082860.0,-161082860.0,0.0,0.0
12/08/2026,9820.0,9890.0,-70.0,-0.00707786,9900.0,9900.0,9820.0,49883.0,491139170.0,0.0,0.0,49883.0,491139170.0,3485.0,-3485.0,0.0,0.0,34462800.0,-34462800.0,0.0,0.0
11/08/2026,9890.0,9900.0,-10.0,-0.0010101,9990.0,9990.0,9860.0,15923.0,157857310.0,0.0,0.0,15923.0,157857310.0,2323.0,-2323.0,0.0,0.0,22794310.0,-22794310.0,0.0,0.0
10/08/2026,9900.0,9850.0,50.0,0.00507614,9910.0,9990.0,9860.0,76749.0,760719330.0,0.0,0.0,76749.0,760719330.0,18000.0,7100.0,0.0,-25100.0,177975001.0,70016000.0,0.0,-247991000.0
07/08/2026,9850.0,9890.0,-40.0,-0.00404449,9890.0,9940.0,9850.0,32457.0,320622200.0,0.0,0.0,32457.0,320622200.0,-2203.0,2203.0,0.0,0.0,-21730620.0,21730620.0,0.0,0.0
06/08/2026,9890.0,9900.0,-10.0,-0.0010101,9900.0,9960.0,9800.0,42108.0,417068000.0,0.0,0.0,42108.0,417068000.0,5344.0,-5344.0,0.0,0.0,52750000.0,-52750000.0,0.0,0.0
05/08/2026,9900.0,9930.0,-30.0,-0.00302115,9930.0,9980.0,9750.0,83200.0,822544220.0,0.0,0.0,83200.0,822544220.0,37861.0,-37861.0,0.0,0.0,373893731.0,-373893730.0,0.0,0.0
04/08/2026,9930.0,10000.0,-70.0,-0.007,10000.0,10000.0,9900.0,74909.0,744977900.0,0.0,0.0,74909.0,744977900.0,-16188.0,16188.0,0.0,0.0,-161310900.0,161310900.0,0.0,0.0
03/08/2026,10000.0,10000.0,0.0,0.0,10000.0,10050.0,9960.0,47912.0,478780700.0,0.0,0.0,47912.0,478780700.0,16703.0,-16703.0,0.0,0.0,166770750.0,-166770750.0,0.0,0.0
31/07/2026,10000.0,10100.0,-100.0,-0.00990099,10100.0,10100.0,10000.0,56079.0,562916200.0,0.0,0.0,56079.0,562916200.0,-16727.0,16727.0,0.0,0.0,-167565000.0,167565000.0,0.0,0.0
30/07/2026,10100.0,9950.0,150.0,0.01507538,9910.0,10100.0,9910.0,70005.0,700705680.0,0.0,0.0,70005.0,700705680.0,35463.0,-34463.0,0.0,-1000.0,354716000.0,-344736000.0,0.0,-9980000.0
29/07/2026,9950.0,9900.0,50.0,0.00505051,9900.0,10000.0,9900.0,73161.0,727720050.0,0.0,0.0,73161.0,727720050.0,5444.0,-5444.0,0.0,0.0,54580250.0,-54580250.0,0.0,0.0
28/07/2026,9900.0,9930.0,-30.0,-0.00302115,9920.0,9920.0,9760.0,73594.0,723685020.0,0.0,0.0,73594.0,723685020.0,8440.0,-8440.0,0.0,0.0,81875000.0,-81875000.0,0.0,0.0
27/07/2026,9930.0,9970.0,-40.0,-0.00401204,9990.0,9990.0,9930.0,16245.0,161565700.0,0.0,0.0,16245.0,161565700.0,-1572.0,1572.0,0.0,0.0,-15621950.0,15621950.0,0.0,0.0
24/07/2026,9970.0,9920.0,50.0,0.00504032,9990.0,9990.0,9900.0,49131.0,487896020.0,0.0,0.0,49131.0,487896020.0,-12102.0,12102.0,0.0,0.0,-119985800.0,119985800.0,0.0,0.0
23/07/2026,9920.0,9900.0,20.0,0.0020202,9980.0,9990.0,9890.0,56895.0,564233290.0,0.0,0.0,56895.0,564233290.0,20493.0,-20193.0,0.0,-300.0,203268100.0,-200274100.0,0.0,-2994000.0
22/07/2026,9900.0,9970.0,-70.0,-0.00702106,9970.0,10000.0,9900.0,133921.0,1333431500.0,0.0,0.0,133921.0,1333431500.0,-22087.0,22087.0,0.0,0.0,-218327419.0,218327420.0,0.0,0.0
21/07/2026,9970.0,9970.0,0.0,0.0,9930.0,10000.0,9930.0,41036.0,409178070.0,0.0,0.0,41036.0,409178070.0,15743.0,-15743.0,0.0,0.0,156886000.0,-156886000.0,0.0,0.0
20/07/2026,9970.0,10050.0,-80.0,-0.0079602,10050.0,10150.0,9970.0,147333.0,1472006090.0,0.0,0.0,147333.0,1472006090.0,12081.0,-11881.0,0.0,-200.0,121401150.0,-119403150.0,0.0,-1998000.0
17/07/2026,10050.0,10100.0,-50.0,-0.0049505,10100.0,10150.0,10050.0,14160.0,142918300.0,0.0,0.0,14160.0,142918300.0,-1815.0,1815.0,0.0,0.0,-18303000.0,18303000.0,0.0,0.0
16/07/2026,10100.0,10100.0,0.0,0.0,10150.0,10150.0,10050.0,329156.0,3323846000.0,0.0,0.0,329156.0,3323846000.0,-12100.0,12100.0,0.0,0.0,-121715000.0,121715000.0,0.0,0.0
15/07/2026,10100.0,10200.0,-100.0,-0.00980392,10200.0,10200.0,10050.0,122046.0,1230718700.0,195000.0,2018250000.0,317046.0,3248968700.0,18925.0,-18925.0,0.0,0.0,191043501.0,-191043500.0,0.0,0.0
14/07/2026,10200.0,10150.0,50.0,0.00492611,10250.0,10250.0,10100.0,203307.0,2064121900.0,0.0,0.0,203307.0,2064121900.0,34302.0,-34302.0,0.0,0.0,348475899.0,-348475900.0,0.0,0.0
13/07/2026,10150.0,10250.0,-100.0,-0.0097561,10250.0,10300.0,10100.0,132133.0,1342429550.0,195000.0,2028000000.0,327133.0,3370429550.0,-2431.0,2431.0,0.0,0.0,-25542950.0,25542950.0,0.0,0.0
10/07/2026,10250.0,10200.0,50.0,0.00490196,10250.0,10300.0,10200.0,26066.0,267245050.0,0.0,0.0,26066.0,267245050.0,-2429.0,2429.0,0.0,0.0,-25022200.0,25022200.0,0.0,0.0
09/07/2026,10200.0,10200.0,0.0,0.0,10200.0,10300.0,10200.0,42049.0,431393700.0,950000.0,9832500000.0,992049.0,10263893700.0,8500.0,-8500.0,0.0,0.0,86965000.0,-86965000.0,0.0,0.0
08/07/2026,10200.0,10250.0,-50.0,-0.00487805,10300.0,10300.0,10200.0,56407.0,578598050.0,0.0,0.0,56407.0,578598050.0,12598.0,-12598.0,0.0,0.0,128719300.0,-128719300.0,0.0,0.0
07/07/2026,10250.0,10250.0,0.0,0.0,10200.0,10250.0,10200.0,53838.0,549962650.0,950000.0,9880000000.0,1003838.0,10429962650.0,-2403.0,2405.0,0.0,-2.0,-24848900.0,24869400.0,0.0,-20500.0
06/07/2026,10250.0,10350.0,-100.0,-0.00966184,10350.0,10350.0,10200.0,52156.0,534987500.0,0.0,0.0,52156.0,534987500.0,-6200.0,7200.0,0.0,-1000.0,-63630000.0,73930000.0,0.0,-10300000.0
03/07/2026,10350.0,10350.0,0.0,0.0,10300.0,10400.0,10200.0,71340.0,734359000.0,0.0,0.0,71340.0,734359000.0,17700.0,-17700.0,0.0,0.0,180905000.0,-180905000.0,0.0,0.0
02/07/2026,10350.0,10300.0,50.0,0.00485437,10300.0,10400.0,10200.0,158533.0,1631311750.0,0.0,0.0,158533.0,1631311750.0,1708.0,-1708.0,0.0,0.0,20062650.0,-20062650.0,0.0,0.0
01/07/2026,10300.0,10350.0,-50.0,-0.00483092,10300.0,10400.0,10300.0,122813.0,1267461400.0,0.0,0.0,122813.0,1267461400.0,-7910.0,7910.0,0.0,0.0,-81818251.0,81818250.0,0.0,0.0
30/06/2026,10350.0,10350.0,0.0,0.0,10300.0,10450.0,10300.0,87571.0,906934950.0,0.0,0.0,87571.0,906934950.0,-13759.0,15983.0,0.0,-2224.0,-142290549.0,165478200.0,0.0,-23187650.0
29/06/2026,10350.0,10450.0,-100.0,-0.00956938,10300.0,10450.0,10300.0,119679.0,1238862450.0,0.0,0.0,119679.0,1238862450.0,-3999.0,21299.0,0.0,-17300.0,-40204701.0,219929700.0,0.0,-179725000.0
26/06/2026,10450.415,11550.0,-100.0,-0.00865801,10496.05,10541.685,10450.415,203803.0,2342187450.0,0.0,0.0,203803.0,2342187450.0,-29000.0,39400.0,0.0,-10400.0,-333045000.0,452645000.0,0.0,-119600000.0
25/06/2026,10541.685,11600.0,-50.0,-0.00431034,10587.32,10587.32,10496.05,133509.0,1545352600.0,0.0,0.0,133509.0,1545352600.0,24390.0,-16690.0,0.0,-7700.0,282009500.0,-192989500.0,0.0,-89020000.0
24/06/2026,10587.32,11600.0,0.0,0.0,10496.05,10632.955,10496.05,104136.0,1206865950.0,0.0,0.0,104136.0,1206865950.0,-1205.0,7805.0,0.0,-6600.0,-13838000.0,90458000.0,0.0,-76620000.0
23/06/2026,10587.32,11700.0,-100.0,-0.00854701,10724.225,10724.225,10587.32,162489.0,1897121400.0,0.0,0.0,162489.0,1897121400.0,-9406.0,12806.0,0.0,-3400.0,-109544950.0,149194950.0,0.0,-39650000.0
22/06/2026,10678.59,11650.0,50.0,0.00429185,10632.955,10769.86,10632.955,229054.0,2691603800.0,0.0,0.0,229054.0,2691603800.0,161135.0,-146335.0,0.0,-14800.0,1894102850.0,-1720302850.0,0.0,-173800000.0
19/06/2026,10632.955,11700.0,-50.0,-0.0042735,10724.225,10724.225,10587.32,136154.0,1590398500.0,0.0,0.0,136154.0,1590398500.0,-2900.0,-500.0,0.0,3400.0,-33579250.0,-6195750.0,0.0,39775000.0
18/06/2026,10678.59,11600.0,100.0,0.00862069,10678.59,10724.225,10632.955,109828.0,1285191100.0,0.0,0.0,109828.0,1285191100.0,-1902.0,-5498.0,0.0,7400.0,-22268500.0,-64311500.0,0.0,86580000.0
17/06/2026,10587.32,11600.0,0.0,0.0,10632.955,10678.59,10541.685,193694.0,2251373800.0,0.0,0.0,193694.0,2251373800.0,-24051.0,16451.0,0.0,7600.0,-279979300.0,191679300.0,0.0,88300000.0
16/06/2026,10587.32,11450.0,150.0,0.01310044,10450.415,10724.225,10450.415,183646.0,2124039600.0,0.0,0.0,183646.0,2124039600.0,-8356.0,1156.0,0.0,7200.0,-96615800.0,13490800.0,0.0,83125000.0
15/06/2026,10450.415,11350.0,100.0,0.00881057,10404.78,10496.05,10404.78,119960.0,1372997100.0,0.0,0.0,119960.0,1372997100.0,24805.0,-39305.0,0.0,14500.0,283985000.0,-450005000.0,0.0,166020000.0
12/06/2026,10359.145,11350.0,0.0,0.0,10404.78,10450.415,10359.145,88769.0,1009898700.0,0.0,0.0,88769.0,1009898700.0,25403.0,-26703.0,0.0,1300.0,288605100.0,-303370100.0,0.0,14765000.0
11/06/2026,10359.145,11350.0,0.0,0.0,10404.78,10450.415,10359.145,43503.0,496301300.0,0.0,0.0,43503.0,496301300.0,12530.0,-11930.0,0.0,-600.0,142726000.0,-135886000.0,0.0,-6840000.0
10/06/2026,10359.145,11400.0,-50.0,-0.00438596,10404.78,10496.05,10359.145,206287.0,2358149750.0,0.0,0.0,206287.0,2358149750.0,90845.0,-89645.0,0.0,-1200.0,1038231200.0,-1024486200.0,0.0,-13745000.0
09/06/2026,10404.78,11400.0,0.0,0.0,10404.78,10404.78,10359.145,109542.0,1248118800.0,0.0,0.0,109542.0,1248118800.0,33111.0,-29807.0,0.0,-3304.0,377795400.0,-340129800.0,0.0,-37665600.0
08/06/2026,10404.78,11400.0,0.0,0.0,10404.78,10450.415,10359.145,148632.0,1694557550.0,550000.0,6297500000.0,698632.0,7992057550.0,63223.0,-61223.0,0.0,-2000.0,720431500.0,-697681500.0,0.0,-22750000.0
05/06/2026,10404.78,11450.0,-50.0,-0.00436681,10496.05,10496.05,10359.145,172435.0,1965872500.0,0.0,0.0,172435.0,1965872500.0,53000.0,-58300.0,0.0,5300.0,604830000.0,-665405000.0,0.0,60575000.0
04/06/2026,10450.415,11350.0,100.0,0.00881057,10404.78,10496.05,10313.51,173705.0,1981802500.0,550000.0,6325000000.0,723705.0,8306802500.0,94202.0,-95602.0,0.0,1400.0,1075227900.0,-1091177900.0,0.0,15950000.0
03/06/2026,10359.145,11350.0,0.0,0.0,10359.145,10404.78,10359.145,59801.0,679234700.0,0.0,0.0,59801.0,679234700.0,-2691.0,8591.0,0.0,-5900.0,-30610700.0,97575700.0,0.0,-66965000.0
02/06/2026,10359.145,11350.0,0.0,0.0,10404.78,10404.78,10359.145,130934.0,1487480100.0,0.0,0.0,130934.0,1487480100.0,20036.0,-19036.0,0.0,-1000.0,227258000.0,-215858000.0,0.0,-11400000.0
01/06/2026,10359.145,11350.0,0.0,0.0,10404.78,10450.415,10359.145,129489.0,1473912100.0,0.0,0.0,129489.0,1473912100.0,56747.0,-55247.0,0.0,-1500.0,646405900.0,-629385900.0,0.0,-17020000.0
29/05/2026,10359.145,11350.0,0.0,0.0,10404.78,10404.78,10313.51,82903.0,939329250.0,0.0,0.0,82903.0,939329250.0,-4100.0,7800.0,0.0,-3700.0,-46755201.0,88850200.0,0.0,-42095000.0
28/05/2026,10359.145,11350.0,0.0,0.0,10404.78,10450.415,10359.145,154173.0,1751297550.0,0.0,0.0,154173.0,1751297550.0,-51501.0,44401.0,0.0,7100.0,-585041300.0,504191300.0,0.0,80850000.0
27/05/2026,10359.145,11350.0,0.0,0.0,10404.78,10450.415,10359.145,173791.0,1978122100.0,0.0,0.0,173791.0,1978122100.0,-24828.0,24828.0,0.0,0.0,-279856800.0,279856800.0,0.0,0.0
26/05/2026,10359.145,11350.0,0.0,0.0,10313.51,10404.78,10313.51,125350.0,1422597600.0,0.0,0.0,125350.0,1422597600.0,-42332.0,43332.0,0.0,-1000.0,-480399750.0,491749750.0,0.0,-11350000.0
25/05/2026,10359.145,11300.0,50.0,0.00442478,10359.145,10450.415,10313.51,112752.0,1280424000.0,0.0,0.0,112752.0,1280424000.0,-51644.0,50144.0,0.0,1500.0,-585943651.0,569038650.0,0.0,16905000.0
22/05/2026,10313.51,11300.0,0.0,0.0,10359.145,10359.145,10267.875,131157.0,1481722200.0,0.0,0.0,131157.0,1481722200.0,18856.0,-17756.0,0.0,-1100.0,212802200.0,-200347200.0,0.0,-12455000.0
21/05/2026,10313.51,11300.0,0.0,0.0,10359.145,10359.145,10222.24,237535.0,2678743450.0,0.0,0.0,237535.0,2678743450.0,28529.0,-81429.0,0.0,52900.0,319780100.0,-916695100.0,0.0,596915000.0
20/05/2026,10313.51,11400.0,-100.0,-0.00877193,10404.78,10404.78,10222.24,245325.0,2773006450.0,0.0,0.0,245325.0,2773006450.0,-21648.0,29648.0,0.0,-8000.0,-242766500.0,333376500.0,0.0,-90610000.0
19/05/2026,10404.78,11500.0,-100.0,-0.00869565,10541.685,10541.685,10359.145,160417.0,1830999850.0,0.0,0.0,160417.0,1830999850.0,-66206.0,22206.0,0.0,44000.0,-754474150.0,253034150.0,0.0,501440000.0
18/05/2026,10496.05,11450.0,50.0,0.00436681,10450.415,10496.05,10359.145,189099.0,2158411800.0,0.0,0.0,189099.0,2158411800.0,-72812.0,77312.0,0.0,-4500.0,-827308100.0,878783100.0,0.0,-51475000.0
15/05/2026,10450.415,11400.0,50.0,0.00438596,10359.145,10450.415,10359.145,54837.0,624548400.0,0.0,0.0,54837.0,624548400.0,-5899.0,2399.0,0.0,3500.0,-67233400.0,27333400.0,0.0,39900000.0
14/05/2026,10404.78,11350.0,50.0,0.00440529,10404.78,10450.415,10359.145,129280.0,1471641250.0,0.0,0.0,129280.0,1471641250.0,-82686.0,73786.0,0.0,8900.0,-940755350.0,839300350.0,0.0,101455000.0
13/05/2026,10359.145,11400.0,-50.0,-0.00438596,10450.415,10450.415,10359.145,203133.0,2313161500.0,0.0,0.0,203133.0,2313161500.0,-4456.0,6456.0,0.0,-2000.0,-51256250.0,74006250.0,0.0,-22750000.0
12/05/2026,10404.78,11400.0,0.0,0.0,10404.78,10496.05,10359.145,92709.0,1056429450.0,0.0,0.0,92709.0,1056429450.0,-18108.0,24308.0,0.0,-6200.0,-206862151.0,277877150.0,0.0,-71015000.0
11/05/2026,10404.78,11400.0,0.0,0.0,10450.415,10450.415,10359.145,172813.0,1968996650.0,0.0,0.0,172813.0,1968996650.0,-30377.0,31477.0,0.0,-1100.0,-346101649.0,358596650.0,0.0,-12495000.0
08/05/2026,10404.78,11450.0,-50.0,-0.00436681,10450.415,10541.685,10404.78,268700.0,3080765000.0,0.0,0.0,268700.0,3080765000.0,-38400.0,36700.0,0.0,1700.0,-443605000.0,424240000.0,0.0,19365000.0
07/05/2026,10450.415,11450.0,0.0,0.0,10496.05,10541.685,10404.78,146973.0,1684372050.0,0.0,0.0,146973.0,1684372050.0,37799.0,-37699.0,0.0,-100.0,433198400.0,-432048400.0,0.0,-1150000.0
06/05/2026,10450.415,11450.0,0.0,0.0,10450.415,10450.415,10404.78,127330.0,1455981500.0,0.0,0.0,127330.0,1455981500.0,-28365.0,44265.0,0.0,-15900.0,-323854600.0,505909600.0,0.0,-182055000.0
05/05/2026,10450.415,11500.0,-50.0,-0.00434783,10496.05,10496.05,10404.78,98057.0,1122829350.0,0.0,0.0,98057.0,1122829350.0,-35635.0,35635.0,0.0,0.0,-409146800.0,409146800.0,0.0,0.0
04/05/2026,10496.05,11450.0,50.0,0.00436681,10541.685,10541.685,10450.415,133532.0,1532894650.0,0.0,0.0,133532.0,1532894650.0,-45006.0,46006.0,0.0,-1000.0,-515518700.0,527043700.0,0.0,-11525000.0
29/04/2026,10450.415,11500.0,-50.0,-0.00434783,10496.05,10541.685,10359.145,91408.0,1044376900.0,0.0,0.0,91408.0,1044376900.0,-23441.0,23541.0,0.0,-100.0,-267501900.0,268641900.0,0.0,-1140000.0
28/04/2026,10496.05,11600.0,-100.0,-0.00862069,10541.685,10632.955,10404.78,166181.0,1917334600.0,0.0,0.0,166181.0,1917334600.0,1224.0,4276.0,0.0,-5500.0,13568400.0,50221600.0,0.0,-63790000.0
24/04/2026,10587.32,11700.0,-100.0,-0.00854701,10724.225,10769.86,10404.78,462742.0,5359060500.0,0.0,0.0,462742.0,5359060500.0,-133100.0,134800.0,0.0,-1700.0,-1537132150.0,1557147150.0,0.0,-20015000.0
23/04/2026,10678.59,11750.0,-50.0,-0.00425532,10769.86,10769.86,10587.32,125221.0,1460226550.0,0.0,0.0,125221.0,1460226550.0,-37159.0,51159.0,0.0,-14000.0,-431855500.0,595690500.0,0.0,-163835000.0
22/04/2026,10724.225,11900.0,-150.0,-0.01260504,10861.13,10861.13,10587.32,168032.0,1965861050.0,0.0,0.0,168032.0,1965861050.0,-41753.0,47353.0,0.0,-5600.0,-485223200.0,551048200.0,0.0,-65825000.0
21/04/2026,10861.13,11650.0,250.0,0.02145923,10678.59,10861.13,10632.955,382213.0,4493398100.0,0.0,0.0,382213.0,4493398100.0,87491.0,-89691.0,0.0,2200.0,1040538500.0,-1066348500.0,0.0,25810000.0
20/04/2026,10632.955,11700.0,-50.0,-0.0042735,10678.59,10724.225,10587.32,92133.0,1073833400.0,0.0,0.0,92133.0,1073833400.0,-39299.0,40099.0,0.0,-800.0,-458558200.0,467898200.0,0.0,-9340000.0
17/04/2026,10678.59,11700.0,0.0,0.0,10769.86,10769.86,10632.955,121085.0,1412347600.0,0.0,0.0,121085.0,1412347600.0,-19512.0,20512.0,0.0,-1000.0,-226989850.0,238789850.0,0.0,-11800000.0
16/04/2026,10678.59,11800.0,-100.0,-0.00847458,10769.86,10769.86,10632.955,79153.0,927820050.0,0.0,0.0,79153.0,927820050.0,-9524.0,9924.0,0.0,-400.0,-111028850.0,115693850.0,0.0,-4665000.0
15/04/2026,10769.86,11800.0,0.0,0.0,10769.86,10815.495,10724.225,253356.0,2982141400.0,0.0,0.0,253356.0,2982141400.0,-75715.0,64115.0,0.0,11600.0,-890291600.0,753931600.0,0.0,136360000.0
14/04/2026,10769.86,11800.0,0.0,0.0,10815.495,10861.13,10678.59,149896.0,1766383650.0,0.0,0.0,149896.0,1766383650.0,-19396.0,14196.0,0.0,5200.0,-228238650.0,166763650.0,0.0,61475000.0
13/04/2026,10769.86,11700.0,100.0,0.00854701,10815.495,10815.495,10724.225,287571.0,3382617400.0,0.0,0.0,287571.0,3382617400.0,-41202.0,48202.0,0.0,-7000.0,-483784550.0,565919550.0,0.0,-82135000.0
10/04/2026,10678.59,11650.0,50.0,0.00429185,10724.225,10769.86,10587.32,262534.0,3066280800.0,0.0,0.0,262534.0,3066280800.0,58634.0,-87734.0,0.0,29100.0,682306351.0,-1021186350.0,0.0,338880000.0
09/04/2026,10632.955,11800.0,-150.0,-0.01271186,10769.86,10769.86,10632.955,107361.0,1252649150.0,0.0,0.0,107361.0,1252649150.0,6329.0,-6829.0,0.0,500.0,73592401.0,-79427400.0,0.0,5835000.0
08/04/2026,10769.86,11500.0,300.0,0.02608696,10632.955,10815.495,10541.685,396771.0,4627814650.0,0.0,0.0,396771.0,4627814650.0,-53658.0,37058.0,0.0,16600.0,-623139000.0,428764000.0,0.0,194375000.0
07/04/2026,10496.05,11650.0,-150.0,-0.01287554,10587.32,10678.59,10450.415,322391.0,3719916400.0,0.0,0.0,322391.0,3719916400.0,-194211.0,199811.0,0.0,-5600.0,-2237086900.0,2302496900.0,0.0,-65410000.0
06/04/2026,10632.955,11700.0,-50.0,-0.0042735,10678.59,10724.225,10632.955,135608.0,1582993950.0,0.0,0.0,135608.0,1582993950.0,-27075.0,54875.0,0.0,-27800.0,-316629251.0,641024250.0,0.0,-324395000.0
03/04/2026,10678.59,11750.0,-50.0,-0.00425532,10724.225,10724.225,10632.955,106649.0,1250410900.0,0.0,0.0,106649.0,1250410900.0,22512.0,-7112.0,0.0,-15400.0,264435700.0,-83975700.0,0.0,-180460000.0
02/04/2026,10724.225,11850.0,-100.0,-0.00843882,10815.495,10815.495,10632.955,241104.0,2831802200.0,0.0,0.0,241104.0,2831802200.0,-97902.0,110202.0,0.0,-12300.0,-1150883600.0,1295593600.0,0.0,-144710000.0
01/04/2026,10815.495,11850.0,0.0,0.0,10815.495,10906.765,10769.86,193407.0,2292546950.0,0.0,0.0,193407.0,2292546950.0,-41118.0,43218.0,0.0,-2100.0,-487286300.0,512266300.0,0.0,-24980000.0
31/03/2026,10815.495,11900.0,-50.0,-0.00420168,10861.13,10861.13,10769.86,142767.0,1692676100.0,0.0,0.0,142767.0,1692676100.0,-50280.0,65880.0,0.0,-15600.0,-596486800.0,781461800.0,0.0,-184975000.0
30/03/2026,10861.13,12000.0,-100.0,-0.00833333,10952.4,10952.4,10769.86,172953.0,2056273050.0,0.0,0.0,172953.0,2056273050.0,-10280.0,14880.0,0.0,-4600.0,-122326300.0,176381300.0,0.0,-54055000.0
27/03/2026,10952.4,11950.0,50.0,0.0041841,10906.765,10998.035,10861.13,209036.0,2507039300.0,0.0,0.0,209036.0,2507039300.0,10046.0,-49646.0,0.0,39600.0,122808800.0,-597838800.0,0.0,475030000.0
26/03/2026,10906.765,11900.0,50.0,0.00420168,10906.765,10998.035,10769.86,197254.0,2352117250.0,0.0,0.0,197254.0,2352117250.0,7847.0,-16547.0,0.0,8700.0,94578000.0,-198633000.0,0.0,104055000.0
25/03/2026,10861.13,11800.0,100.0,0.00847458,10815.495,10952.4,10769.86,311019.0,3692125350.0,0.0,0.0,311019.0,3692125350.0,-31657.0,14957.0,0.0,16700.0,-378345650.0,180120650.0,0.0,198225000.0
24/03/2026,10769.86,11650.0,150.0,0.01287554,10632.955,10769.86,10587.32,238086.0,2784190700.0,0.0,0.0,238086.0,2784190700.0,18978.0,-37578.0,0.0,18600.0,218789850.0,-435464850.0,0.0,216675000.0
23/03/2026,10632.955,11850.0,-200.0,-0.01687764,10769.86,10861.13,10587.32,583018.0,6834893050.0,0.0,0.0,583018.0,6834893050.0,-110110.0,113810.0,0.0,-3700.0,-1286162650.0,1329987650.0,0.0,-43825000.0
20/03/2026,10815.495,11950.0,-100.0,-0.0083682,10906.765,10906.765,10815.495,223023.0,2660119350.0,0.0,0.0,223023.0,2660119350.0,20881.0,-20881.0,0.0,0.0,247792450.0,-247792450.0,0.0,0.0
19/03/2026,10906.765,12100.0,-150.0,-0.01239669,10906.765,10998.035,10861.13,126049.0,1507409250.0,0.0,0.0,126049.0,1507409250.0,3105.0,-3105.0,0.0,0.0,37241200.0,-37241200.0,0.0,0.0
18/03/2026,11043.67,12050.0,50.0,0.00414938,11043.67,11043.67,10861.13,150825.0,1812542100.0,0.0,0.0,150825.0,1812542100.0,-47799.0,39999.0,0.0,7800.0,-572114550.0,478289550.0,0.0,93825000.0
17/03/2026,10998.035,12000.0,50.0,0.00416667,10952.4,11043.67,10952.4,71472.0,861925300.0,0.0,0.0,71472.0,861925300.0,22090.0,-20290.0,0.0,-1800.0,266922200.0,-245232200.0,0.0,-21690000.0
16/03/2026,10952.4,11950.0,50.0,0.0041841,10906.765,10998.035,10906.765,303454.0,3635991900.0,0.0,0.0,303454.0,3635991900.0,125667.0,-95667.0,0.0,-30000.0,1506619300.0,-1148044300.0,0.0,-358575000.0
