NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,10850.0,10650.0,200.0,0.01877934,10750.0,10850.0,10700.0,10512.0,113140350.0,234940.0,2328255400.0,245452.0,2441395750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,10650.0,10800.0,-150.0,-0.01388889,10650.0,10750.0,10650.0,14953.0,159355100.0,0.0,0.0,14953.0,159355100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10800.0,10650.0,150.0,0.01408451,10800.0,10800.0,10650.0,15630.0,167174000.0,0.0,0.0,15630.0,167174000.0,7399.0,-7399.0,0.0,0.0,78549200.0,-78549200.0,0.0,0.0
27/08/2026,10650.0,10700.0,-50.0,-0.0046729,10700.0,10850.0,10650.0,10067.0,107546900.0,0.0,0.0,10067.0,107546900.0,6043.0,-6043.0,0.0,0.0,64445101.0,-64445100.0,0.0,0.0
26/08/2026,10700.0,10700.0,0.0,0.0,10750.0,10800.0,10700.0,27600.0,296285000.0,0.0,0.0,27600.0,296285000.0,-500.0,500.0,0.0,0.0,-5355000.0,5355000.0,0.0,0.0
25/08/2026,10700.0,10900.0,-200.0,-0.01834862,11000.0,11000.0,10650.0,18867.0,203303700.0,0.0,0.0,18867.0,203303700.0,400.0,500.0,0.0,-900.0,4255000.0,5375000.0,0.0,-9630000.0
24/08/2026,10900.0,10850.0,50.0,0.00460829,10950.0,11200.0,10900.0,14463.0,159071750.0,0.0,0.0,14463.0,159071750.0,-7321.0,8021.0,0.0,-700.0,-80623900.0,88383900.0,0.0,-7760000.0
21/08/2026,10850.0,10800.0,50.0,0.00462963,10600.0,11200.0,10600.0,33787.0,368636250.0,0.0,0.0,33787.0,368636250.0,2300.0,-2300.0,0.0,0.0,24245000.0,-23975000.0,0.0,-270000.0
20/08/2026,10800.0,10800.0,0.0,0.0,10600.0,10800.0,10600.0,6901.0,73470800.0,0.0,0.0,6901.0,73470800.0,2800.0,-2800.0,0.0,0.0,29815000.0,-29815000.0,0.0,0.0
19/08/2026,10800.0,10850.0,-50.0,-0.00460829,10800.0,10850.0,10550.0,10774.0,114887600.0,0.0,0.0,10774.0,114887600.0,2270.0,-2270.0,0.0,0.0,24229800.0,-24229800.0,0.0,0.0
18/08/2026,10850.0,10850.0,0.0,0.0,10800.0,10950.0,10800.0,15423.0,167168450.0,0.0,0.0,15423.0,167168450.0,-5902.0,5002.0,0.0,900.0,-64046600.0,54281600.0,0.0,9765000.0
17/08/2026,10850.0,10900.0,-50.0,-0.00458716,10650.0,10850.0,10500.0,7716.0,81427100.0,0.0,0.0,7716.0,81427100.0,6601.0,-6601.0,0.0,0.0,69370650.0,-69370650.0,0.0,0.0
14/08/2026,10900.0,10950.0,-50.0,-0.00456621,10700.0,11000.0,10700.0,1878.0,20185150.0,0.0,0.0,1878.0,20185150.0,823.0,-623.0,-200.0,-200.0,8761700.0,-6581700.0,-2180000.0,-2180000.0
13/08/2026,10950.0,11000.0,-50.0,-0.00454545,10750.0,11000.0,10750.0,13299.0,143824050.0,0.0,0.0,13299.0,143824050.0,1201.0,-2201.0,0.0,1000.0,13190750.0,-23990750.0,0.0,10800000.0
12/08/2026,11000.0,11000.0,0.0,0.0,11150.0,11150.0,10850.0,18045.0,198077000.0,0.0,0.0,18045.0,198077000.0,4110.0,-4110.0,0.0,0.0,45190500.0,-45190500.0,0.0,0.0
11/08/2026,11000.0,10950.0,50.0,0.00456621,11250.0,11250.0,10850.0,12966.0,142214500.0,0.0,0.0,12966.0,142214500.0,203.0,1697.0,0.0,-1900.0,2802800.0,18572200.0,0.0,-21375000.0
10/08/2026,10950.0,10800.0,150.0,0.01388889,10800.0,10950.0,10750.0,20701.0,224188350.0,0.0,0.0,20701.0,224188350.0,5449.0,1351.0,0.0,-6800.0,58926650.0,14673350.0,0.0,-73600000.0
07/08/2026,10800.0,10650.0,150.0,0.01408451,10850.0,10850.0,10750.0,3745.0,40446000.0,0.0,0.0,3745.0,40446000.0,-65.0,65.0,0.0,0.0,-707000.0,707000.0,0.0,0.0
06/08/2026,10650.0,10850.0,-200.0,-0.01843318,10700.0,10850.0,10650.0,4601.0,49380850.0,0.0,0.0,4601.0,49380850.0,1100.0,-1100.0,0.0,0.0,11980000.0,-11980000.0,0.0,0.0
05/08/2026,10850.0,10800.0,50.0,0.00462963,10650.0,10850.0,10500.0,25417.0,274196300.0,0.0,0.0,25417.0,274196300.0,-700.0,700.0,0.0,0.0,-7820199.0,7820200.0,0.0,0.0
04/08/2026,10800.0,11000.0,-200.0,-0.01818182,10800.0,10800.0,10750.0,11803.0,127398050.0,0.0,0.0,11803.0,127398050.0,-458.0,458.0,0.0,0.0,-4925750.0,4925750.0,0.0,0.0
03/08/2026,11000.0,10800.0,200.0,0.01851852,10800.0,11000.0,10700.0,7503.0,81447400.0,0.0,0.0,7503.0,81447400.0,-1000.0,1000.0,0.0,0.0,-11110001.0,11110000.0,0.0,0.0
31/07/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10650.0,7875.0,85046950.0,0.0,0.0,7875.0,85046950.0,-2221.0,2221.0,0.0,0.0,-23978801.0,23978800.0,0.0,0.0
30/07/2026,10800.0,10700.0,100.0,0.00934579,10800.0,10800.0,10300.0,15005.0,161332950.0,0.0,0.0,15005.0,161332950.0,903.0,-3403.0,0.0,2500.0,10376550.0,-37376550.0,0.0,27000000.0
29/07/2026,10700.0,10800.0,-100.0,-0.00925926,10850.0,10900.0,10700.0,14432.0,155767350.0,0.0,0.0,14432.0,155767350.0,1606.0,-1606.0,0.0,0.0,17160600.0,-17160600.0,0.0,0.0
28/07/2026,10800.0,10350.0,450.0,0.04347826,10400.0,10850.0,10050.0,20786.0,218559450.0,0.0,0.0,20786.0,218559450.0,-4349.0,4349.0,0.0,0.0,-46607600.0,46607600.0,0.0,0.0
27/07/2026,10350.0,10450.0,-100.0,-0.00956938,10450.0,10450.0,10000.0,50244.0,513764750.0,0.0,0.0,50244.0,513764750.0,-10271.0,13071.0,0.0,-2800.0,-105246970.0,134246970.0,0.0,-29000000.0
24/07/2026,10450.0,10500.0,-50.0,-0.0047619,10500.0,10700.0,10450.0,5500.0,57910000.0,0.0,0.0,5500.0,57910000.0,1600.0,-1600.0,0.0,0.0,17045000.0,-17045000.0,0.0,0.0
23/07/2026,10500.0,10900.0,-400.0,-0.03669725,10250.0,11000.0,10250.0,22178.0,234582800.0,0.0,0.0,22178.0,234582800.0,-5841.0,7141.0,-1300.0,-1300.0,-61252500.0,74732500.0,-13480000.0,-13480000.0
22/07/2026,10900.0,10800.0,100.0,0.00925926,10800.0,11150.0,10200.0,35260.0,374511000.0,0.0,0.0,35260.0,374511000.0,-11590.0,11590.0,0.0,0.0,-121727100.0,121727100.0,0.0,0.0
21/07/2026,10800.0,11200.0,-400.0,-0.03571429,11000.0,11350.0,10800.0,26174.0,289536700.0,0.0,0.0,26174.0,289536700.0,-11133.0,10033.0,0.0,1100.0,-121982600.0,109772600.0,0.0,12210000.0
20/07/2026,11200.0,11700.0,-500.0,-0.04273504,12050.0,12050.0,11200.0,15735.0,178119400.0,0.0,0.0,15735.0,178119400.0,-613.0,613.0,0.0,0.0,-6713700.0,6713700.0,0.0,0.0
17/07/2026,11700.0,11900.0,-200.0,-0.01680672,11800.0,11900.0,11700.0,10274.0,120558400.0,0.0,0.0,10274.0,120558400.0,-2101.0,2201.0,0.0,-100.0,-24816900.0,26006900.0,0.0,-1190000.0
16/07/2026,11900.0,11850.0,50.0,0.00421941,11850.0,11900.0,11250.0,30463.0,358106850.0,0.0,0.0,30463.0,358106850.0,9464.0,-9464.0,0.0,0.0,111290401.0,-111290400.0,0.0,0.0
15/07/2026,11850.0,12200.0,-350.0,-0.02868852,12100.0,12150.0,11850.0,28039.0,336589800.0,0.0,0.0,28039.0,336589800.0,6127.0,-6127.0,0.0,0.0,74825100.0,-74825100.0,0.0,0.0
14/07/2026,12200.0,12200.0,0.0,0.0,12200.0,12200.0,12050.0,49567.0,600437950.0,0.0,0.0,49567.0,600437950.0,22700.0,-22700.0,0.0,0.0,275385001.0,-275385000.0,0.0,0.0
13/07/2026,12200.0,13000.0,-800.0,-0.06153846,12900.0,12900.0,12200.0,192429.0,2381126250.0,20007.0,247086450.0,212436.0,2628212700.0,-5008.0,4608.0,0.0,400.0,-62126350.0,57246350.0,0.0,4880000.0
10/07/2026,13000.0,13300.0,-300.0,-0.02255639,13250.0,13250.0,13000.0,19821.0,259207400.0,0.0,0.0,19821.0,259207400.0,4332.0,-4332.0,0.0,0.0,56392601.0,-56392600.0,0.0,0.0
09/07/2026,13300.0,13550.0,-250.0,-0.01845018,13400.0,13550.0,13200.0,299698.0,3970047250.0,33300.0,441225000.0,332998.0,4411272250.0,-1830.0,1030.0,0.0,800.0,-23793000.0,13233000.0,0.0,10560000.0
08/07/2026,13550.0,13450.0,100.0,0.00743494,13500.0,13950.0,13500.0,70302.0,961361900.0,0.0,0.0,70302.0,961361900.0,2774.0,-3374.0,0.0,600.0,38794150.0,-46894149.0,0.0,8100000.0
07/07/2026,13450.0,13450.0,0.0,0.0,13450.0,13600.0,13350.0,48021.0,645465400.0,0.0,0.0,48021.0,645465400.0,13109.0,-13109.0,0.0,0.0,176429550.0,-176429550.0,0.0,0.0
06/07/2026,13450.0,13400.0,50.0,0.00373134,14000.0,14000.0,13200.0,67514.0,925390100.0,0.0,0.0,67514.0,925390100.0,-12892.0,14292.0,0.0,-1400.0,-177215901.0,196815900.0,0.0,-19600000.0
03/07/2026,13400.0,12950.0,450.0,0.03474903,13250.0,13500.0,12950.0,76595.0,1012782900.0,0.0,0.0,76595.0,1012782900.0,-26584.0,26584.0,0.0,0.0,-352977400.0,352977400.0,0.0,0.0
02/07/2026,12950.0,12950.0,0.0,0.0,12950.0,13000.0,12800.0,28441.0,367154950.0,0.0,0.0,28441.0,367154950.0,-3091.0,3091.0,0.0,0.0,-39795450.0,39795450.0,0.0,0.0
01/07/2026,12950.0,12900.0,50.0,0.00387597,12850.0,12950.0,12800.0,36098.0,465645150.0,0.0,0.0,36098.0,465645150.0,27819.0,-28519.0,0.0,700.0,359004800.0,-367964800.0,0.0,8960000.0
30/06/2026,12900.0,12900.0,0.0,0.0,12950.0,13100.0,12800.0,20611.0,267881900.0,0.0,0.0,20611.0,267881900.0,-5911.0,6111.0,0.0,-200.0,-76766900.0,79376900.0,0.0,-2610000.0
29/06/2026,12900.0,12750.0,150.0,0.01176471,12800.0,12950.0,12800.0,6936.0,88931550.0,0.0,0.0,6936.0,88931550.0,-5413.0,5413.0,0.0,0.0,-69333700.0,69333700.0,0.0,0.0
26/06/2026,12750.0,13000.0,-250.0,-0.01923077,13150.0,13150.0,12750.0,9638.0,124521900.0,0.0,0.0,9638.0,124521900.0,890.0,-890.0,0.0,0.0,11748500.0,-11748500.0,0.0,0.0
25/06/2026,13000.0,13000.0,0.0,0.0,12950.0,13100.0,12850.0,7120.0,92502500.0,0.0,0.0,7120.0,92502500.0,1600.0,-1500.0,0.0,-100.0,20784500.0,-19484500.0,0.0,-1300000.0
24/06/2026,13000.0,12800.0,200.0,0.015625,12850.0,13000.0,12800.0,3045.0,39113800.0,0.0,0.0,3045.0,39113800.0,278.0,-278.0,0.0,0.0,3589600.0,-3589600.0,0.0,0.0
23/06/2026,12800.0,13300.0,-500.0,-0.03759398,13250.0,13350.0,12800.0,19933.0,261505250.0,0.0,0.0,19933.0,261505250.0,3644.0,-344.0,0.0,-3300.0,47349000.0,-4249000.0,0.0,-43100000.0
22/06/2026,13300.0,13350.0,-50.0,-0.00374532,13050.0,13350.0,12950.0,11042.0,143899600.0,0.0,0.0,11042.0,143899600.0,-2304.0,2604.0,0.0,-300.0,-29986400.0,33976400.0,0.0,-3990000.0
19/06/2026,13350.0,13000.0,350.0,0.02692308,12850.0,13450.0,12850.0,26331.0,345362850.0,0.0,0.0,26331.0,345362850.0,-14331.0,14031.0,0.0,300.0,-186797851.0,182897850.0,0.0,3900000.0
18/06/2026,13000.0,13600.0,-600.0,-0.04411765,13850.0,13850.0,13000.0,25068.0,331743150.0,0.0,0.0,25068.0,331743150.0,-12990.0,13290.0,0.0,-300.0,-171800600.0,175880600.0,0.0,-4080000.0
17/06/2026,13600.0,13500.0,100.0,0.00740741,13600.0,13900.0,13450.0,19713.0,266747700.0,0.0,0.0,19713.0,266747700.0,-2178.0,2178.0,0.0,0.0,-29508450.0,29508450.0,0.0,0.0
16/06/2026,13500.0,13300.0,200.0,0.01503759,13300.0,13600.0,12950.0,55120.0,737486950.0,0.0,0.0,55120.0,737486950.0,-19433.0,5433.0,0.0,14000.0,-260872301.0,72787300.0,0.0,188085000.0
15/06/2026,13300.0,13200.0,100.0,0.00757576,13200.0,13350.0,13000.0,15600.0,206800000.0,0.0,0.0,15600.0,206800000.0,-6600.0,6600.0,0.0,0.0,-87665000.0,87665000.0,0.0,0.0
12/06/2026,13200.0,13000.0,200.0,0.01538462,12800.0,13200.0,12800.0,12124.0,157787650.0,0.0,0.0,12124.0,157787650.0,997.0,-997.0,0.0,0.0,12876300.0,-12876300.0,0.0,0.0
11/06/2026,13000.0,13200.0,-200.0,-0.01515152,12800.0,13000.0,12700.0,8343.0,106993100.0,0.0,0.0,8343.0,106993100.0,2089.0,-2089.0,0.0,0.0,26090500.0,-26090500.0,0.0,0.0
10/06/2026,13200.0,13600.0,-400.0,-0.02941176,12900.0,13450.0,12800.0,13879.0,180067100.0,0.0,0.0,13879.0,180067100.0,-7809.0,7809.0,0.0,0.0,-101507100.0,101507100.0,0.0,0.0
09/06/2026,13600.0,12800.0,800.0,0.0625,12800.0,13600.0,12700.0,18504.0,244147700.0,0.0,0.0,18504.0,244147700.0,-16112.0,16112.0,0.0,0.0,-212418050.0,212418050.0,0.0,0.0
08/06/2026,12800.0,12850.0,-50.0,-0.00389105,12650.0,12850.0,12500.0,47451.0,603063000.0,0.0,0.0,47451.0,603063000.0,-10205.0,9805.0,0.0,400.0,-129257600.0,124272600.0,0.0,4985000.0
05/06/2026,12850.0,12850.0,0.0,0.0,12650.0,12850.0,12650.0,10229.0,130288000.0,0.0,0.0,10229.0,130288000.0,3162.0,-3262.0,0.0,100.0,40160701.0,-41430700.0,0.0,1270000.0
04/06/2026,12850.0,12800.0,50.0,0.00390625,12700.0,12900.0,12650.0,8283.0,106066650.0,0.0,0.0,8283.0,106066650.0,88.0,412.0,0.0,-500.0,1256200.0,5143800.0,0.0,-6400000.0
03/06/2026,12800.0,12750.0,50.0,0.00392157,12300.0,12800.0,12300.0,7749.0,97993600.0,0.0,0.0,7749.0,97993600.0,-6280.0,6480.0,0.0,-200.0,-79568950.0,82093950.0,0.0,-2525000.0
02/06/2026,12750.0,12700.0,50.0,0.00393701,12700.0,12750.0,12600.0,12813.0,162616550.0,0.0,0.0,12813.0,162616550.0,-7413.0,7413.0,0.0,0.0,-94046551.0,94046550.0,0.0,0.0
01/06/2026,12700.0,12700.0,0.0,0.0,12950.0,12950.0,12700.0,14039.0,179437350.0,0.0,0.0,14039.0,179437350.0,-8509.0,8509.0,0.0,0.0,-108765901.0,108765900.0,0.0,0.0
29/05/2026,12700.0,12700.0,0.0,0.0,12750.0,12950.0,12700.0,17721.0,225791200.0,0.0,0.0,17721.0,225791200.0,-5711.0,5711.0,0.0,0.0,-72793700.0,72793700.0,0.0,0.0
28/05/2026,12700.0,12950.0,-250.0,-0.01930502,12900.0,12950.0,12700.0,12908.0,165564150.0,0.0,0.0,12908.0,165564150.0,-1708.0,1708.0,0.0,0.0,-22294150.0,22294150.0,0.0,0.0
27/05/2026,12950.0,12800.0,150.0,0.01171875,12800.0,12950.0,12700.0,15226.0,195263250.0,0.0,0.0,15226.0,195263250.0,-9304.0,8704.0,0.0,600.0,-119116650.0,111396650.0,0.0,7720000.0
26/05/2026,12800.0,12850.0,-50.0,-0.00389105,12800.0,12950.0,12800.0,11885.0,153030000.0,0.0,0.0,11885.0,153030000.0,-6284.0,6284.0,0.0,0.0,-81097301.0,81097300.0,0.0,0.0
25/05/2026,12850.0,12950.0,-100.0,-0.00772201,12850.0,13000.0,12800.0,21477.0,275694850.0,0.0,0.0,21477.0,275694850.0,-14225.0,14225.0,0.0,0.0,-182640500.0,182640500.0,0.0,0.0
22/05/2026,12950.0,12950.0,0.0,0.0,12950.0,13100.0,12950.0,7407.0,96360650.0,0.0,0.0,7407.0,96360650.0,-2206.0,2206.0,0.0,0.0,-28602700.0,28602700.0,0.0,0.0
21/05/2026,12950.0,13000.0,-50.0,-0.00384615,13200.0,13200.0,12850.0,5961.0,77222600.0,0.0,0.0,5961.0,77222600.0,-4409.0,4809.0,0.0,-400.0,-57177500.0,62367500.0,0.0,-5190000.0
20/05/2026,13000.0,12850.0,150.0,0.01167315,12950.0,13150.0,12800.0,25230.0,328922400.0,0.0,0.0,25230.0,328922400.0,-5703.0,5703.0,0.0,0.0,-75103300.0,75103300.0,0.0,0.0
19/05/2026,12850.0,13100.0,-250.0,-0.01908397,13100.0,13400.0,12850.0,22433.0,293415300.0,0.0,0.0,22433.0,293415300.0,-12715.0,12315.0,0.0,400.0,-166167300.0,160927300.0,0.0,5240000.0
18/05/2026,13100.0,13050.0,50.0,0.00383142,13050.0,13300.0,12900.0,44008.0,575749500.0,0.0,0.0,44008.0,575749500.0,-26080.0,28780.0,-1100.0,-2700.0,-341280500.0,376855500.0,-14300000.0,-35575000.0
15/05/2026,13050.0,13000.0,50.0,0.00384615,13000.0,13100.0,12950.0,12455.0,161993650.0,0.0,0.0,12455.0,161993650.0,-7515.0,7515.0,0.0,0.0,-97659550.0,97659550.0,0.0,0.0
14/05/2026,13000.0,13000.0,0.0,0.0,13250.0,13250.0,12800.0,9415.0,122174000.0,0.0,0.0,9415.0,122174000.0,-5195.0,5195.0,0.0,0.0,-67221000.0,67221000.0,0.0,0.0
13/05/2026,13000.0,13100.0,-100.0,-0.00763359,12700.0,13100.0,12700.0,8829.0,114352300.0,0.0,0.0,8829.0,114352300.0,-3833.0,3833.0,0.0,0.0,-49414300.0,49414300.0,0.0,0.0
12/05/2026,13100.0,12800.0,300.0,0.0234375,13000.0,13500.0,12900.0,12945.0,169260000.0,0.0,0.0,12945.0,169260000.0,-2615.0,3615.0,0.0,-1000.0,-35140000.0,48195000.0,0.0,-13055000.0
11/05/2026,12800.0,13050.0,-250.0,-0.01915709,13050.0,13150.0,12800.0,6562.0,84470800.0,0.0,0.0,6562.0,84470800.0,-2238.0,2238.0,0.0,0.0,-28885350.0,28885350.0,0.0,0.0
08/05/2026,13050.0,13050.0,0.0,0.0,12800.0,13050.0,12700.0,13200.0,169129700.0,0.0,0.0,13200.0,169129700.0,2378.0,-2578.0,0.0,200.0,29190800.0,-31730800.0,0.0,2540000.0
07/05/2026,13050.0,13050.0,0.0,0.0,13100.0,13150.0,13050.0,7259.0,95127450.0,0.0,0.0,7259.0,95127450.0,645.0,-645.0,0.0,0.0,8419750.0,-8419750.0,0.0,0.0
06/05/2026,13050.0,12950.0,100.0,0.00772201,12950.0,13050.0,12750.0,13971.0,181166600.0,0.0,0.0,13971.0,181166600.0,-5774.0,5774.0,0.0,0.0,-74884300.0,74884300.0,0.0,0.0
05/05/2026,12950.0,12950.0,0.0,0.0,12800.0,12950.0,12700.0,19633.0,252056950.0,1116160.0,13449728000.0,1135793.0,13701784950.0,-7282.0,7282.0,0.0,0.0,-93541750.0,93541750.0,0.0,0.0
04/05/2026,12950.0,13000.0,-50.0,-0.00384615,12750.0,13000.0,12750.0,4720.0,61029250.0,0.0,0.0,4720.0,61029250.0,-1089.0,1089.0,0.0,0.0,-14102550.0,14102550.0,0.0,0.0
29/04/2026,13000.0,12950.0,50.0,0.003861,13000.0,13000.0,12750.0,9992.0,129479300.0,0.0,0.0,9992.0,129479300.0,-4894.0,6694.0,0.0,-1800.0,-63758400.0,86933400.0,0.0,-23175000.0
28/04/2026,12950.0,13000.0,-50.0,-0.00384615,12750.0,13000.0,12700.0,27144.0,347139150.0,0.0,0.0,27144.0,347139150.0,-8698.0,8698.0,0.0,0.0,-111738550.0,111738550.0,0.0,0.0
24/04/2026,13000.0,12950.0,50.0,0.003861,12700.0,13200.0,12650.0,17195.0,219417600.0,0.0,0.0,17195.0,219417600.0,-6834.0,5034.0,0.0,1800.0,-87518300.0,64748300.0,0.0,22770000.0
23/04/2026,12950.0,13000.0,-50.0,-0.00384615,13000.0,13000.0,12700.0,16988.0,217474700.0,0.0,0.0,16988.0,217474700.0,1397.0,-1997.0,0.0,600.0,17537250.0,-25187250.0,0.0,7650000.0
22/04/2026,13000.0,13000.0,0.0,0.0,12800.0,13000.0,12800.0,1198.0,15358200.0,0.0,0.0,1198.0,15358200.0,-215.0,215.0,0.0,0.0,-2775800.0,2775800.0,0.0,0.0
21/04/2026,13000.0,13000.0,0.0,0.0,12850.0,13000.0,12800.0,9204.0,118226800.0,0.0,0.0,9204.0,118226800.0,-389.0,389.0,0.0,0.0,-5055750.0,5055750.0,0.0,0.0
20/04/2026,13000.0,13000.0,0.0,0.0,13000.0,13000.0,12950.0,5973.0,77595300.0,0.0,0.0,5973.0,77595300.0,-3424.0,3524.0,0.0,-100.0,-44509600.0,45809600.0,0.0,-1300000.0
17/04/2026,13000.0,12900.0,100.0,0.00775194,12950.0,13050.0,12900.0,14715.0,190830000.0,0.0,0.0,14715.0,190830000.0,-11017.0,11017.0,0.0,0.0,-142839150.0,142839150.0,0.0,0.0
16/04/2026,12900.0,13000.0,-100.0,-0.00769231,13250.0,13300.0,12900.0,14520.0,188712100.0,0.0,0.0,14520.0,188712100.0,-2236.0,2336.0,0.0,-100.0,-29184450.0,30509450.0,0.0,-1325000.0
15/04/2026,13000.0,12850.0,150.0,0.01167315,12900.0,13100.0,12900.0,35140.0,455401950.0,0.0,0.0,35140.0,455401950.0,-2668.0,2668.0,0.0,0.0,-34842200.0,34842200.0,0.0,0.0
14/04/2026,12850.0,13000.0,-150.0,-0.01153846,13200.0,13200.0,12850.0,18343.0,237821700.0,0.0,0.0,18343.0,237821700.0,5129.0,-4629.0,0.0,-500.0,67014300.0,-60554300.0,0.0,-6460000.0
13/04/2026,13000.0,13100.0,-100.0,-0.00763359,12850.0,13150.0,12850.0,14300.0,186895000.0,0.0,0.0,14300.0,186895000.0,-2093.0,2293.0,0.0,-200.0,-27338900.0,29958900.0,0.0,-2620000.0
10/04/2026,13100.0,13500.0,-400.0,-0.02962963,13500.0,13500.0,13100.0,29970.0,396420200.0,0.0,0.0,29970.0,396420200.0,-9998.0,9798.0,0.0,200.0,-131427050.0,128812050.0,0.0,2615000.0
09/04/2026,13500.0,13600.0,-100.0,-0.00735294,13600.0,13750.0,13250.0,9699.0,130860450.0,0.0,0.0,9699.0,130860450.0,-1293.0,3593.0,0.0,-2300.0,-17352750.0,48437750.0,0.0,-31085000.0
08/04/2026,13600.0,13200.0,400.0,0.03030303,13200.0,13700.0,13200.0,62861.0,850815850.0,0.0,0.0,62861.0,850815850.0,-23527.0,23127.0,0.0,400.0,-318366851.0,312956850.0,0.0,5410000.0
07/04/2026,13200.0,13050.0,150.0,0.01149425,12800.0,13200.0,12750.0,8279.0,108300850.0,0.0,0.0,8279.0,108300850.0,-1649.0,1649.0,0.0,0.0,-21768350.0,21768350.0,0.0,0.0
06/04/2026,13050.0,13000.0,50.0,0.00384615,12750.0,13100.0,12750.0,10836.0,140436600.0,0.0,0.0,10836.0,140436600.0,2698.0,-2098.0,0.0,-600.0,34663600.0,-26913600.0,0.0,-7750000.0
03/04/2026,13000.0,13150.0,-150.0,-0.01140684,13250.0,13250.0,12800.0,21419.0,275682600.0,0.0,0.0,21419.0,275682600.0,311.0,-1011.0,0.0,700.0,3687400.0,-12647400.0,0.0,8960000.0
02/04/2026,13150.0,13150.0,0.0,0.0,13300.0,13300.0,12650.0,28485.0,371204600.0,0.0,0.0,28485.0,371204600.0,-8239.0,8339.0,0.0,-100.0,-108176050.0,109616050.0,0.0,-1440000.0
01/04/2026,13150.0,12950.0,200.0,0.01544402,13000.0,13200.0,13000.0,25728.0,336580900.0,0.0,0.0,25728.0,336580900.0,-6727.0,8327.0,0.0,-1600.0,-88001600.0,108871600.0,0.0,-20870000.0
31/03/2026,12950.0,12750.0,200.0,0.01568627,12850.0,13000.0,12650.0,28753.0,370860100.0,0.0,0.0,28753.0,370860100.0,-2680.0,2680.0,0.0,0.0,-34449101.0,34449100.0,0.0,0.0
30/03/2026,12750.0,12800.0,-50.0,-0.00390625,12450.0,12750.0,12450.0,7480.0,94344650.0,0.0,0.0,7480.0,94344650.0,-910.0,910.0,0.0,0.0,-11723600.0,11723600.0,0.0,0.0
27/03/2026,12800.0,12600.0,200.0,0.01587302,12700.0,12850.0,12400.0,41769.0,531394350.0,0.0,0.0,41769.0,531394350.0,-25624.0,25624.0,0.0,0.0,-326324051.0,326324050.0,0.0,0.0
26/03/2026,12600.0,12700.0,-100.0,-0.00787402,12700.0,12700.0,12500.0,23419.0,294299950.0,0.0,0.0,23419.0,294299950.0,-699.0,699.0,0.0,0.0,-8817300.0,8817300.0,0.0,0.0
25/03/2026,12700.0,12450.0,250.0,0.02008032,12600.0,12800.0,12450.0,23217.0,291003700.0,0.0,0.0,23217.0,291003700.0,-12932.0,7832.0,0.0,5100.0,-161887900.0,98137900.0,0.0,63750000.0
24/03/2026,12450.0,12050.0,400.0,0.03319502,12100.0,12450.0,12000.0,22856.0,280090050.0,0.0,0.0,22856.0,280090050.0,-7278.0,5978.0,0.0,1300.0,-89929300.0,74199300.0,0.0,15730000.0
23/03/2026,12050.0,12200.0,-150.0,-0.01229508,12700.0,12700.0,11750.0,40127.0,481855400.0,0.0,0.0,40127.0,481855400.0,-994.0,5294.0,0.0,-4300.0,-11720500.0,63750500.0,0.0,-52030000.0
20/03/2026,12200.0,13000.0,-800.0,-0.06153846,13000.0,13000.0,12200.0,14493.0,179128950.0,0.0,0.0,14493.0,179128950.0,-8100.0,8582.0,0.0,-482.0,-99585000.0,105771000.0,0.0,-6186000.0
19/03/2026,13000.0,12950.0,50.0,0.003861,12500.0,13000.0,12500.0,8679.0,111449300.0,0.0,0.0,8679.0,111449300.0,-518.0,552.0,0.0,-34.0,-6713300.0,7148300.0,0.0,-435200.0
18/03/2026,12950.0,13100.0,-150.0,-0.01145038,13400.0,13400.0,12800.0,23956.0,309081450.0,0.0,0.0,23956.0,309081450.0,-4314.0,4114.0,0.0,200.0,-56043850.0,53443850.0,0.0,2600000.0
17/03/2026,13100.0,13400.0,-300.0,-0.02238806,13550.0,13550.0,13050.0,34067.0,450028500.0,24000.0,321888000.0,58067.0,771916500.0,-20600.0,20600.0,0.0,0.0,-272235000.0,272235000.0,0.0,0.0
16/03/2026,13400.0,13400.0,0.0,0.0,13050.0,13400.0,13050.0,48306.0,639626450.0,0.0,0.0,48306.0,639626450.0,-6050.0,4550.0,0.0,1500.0,-81724000.0,62074000.0,0.0,19650000.0
13/03/2026,13400.0,12950.0,450.0,0.03474903,12700.0,13400.0,12500.0,97802.0,1269269600.0,0.0,0.0,97802.0,1269269600.0,-16990.0,-8910.0,24000.0,25900.0,-233152000.0,-112238000.0,321600000.0,345390000.0
