NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
22/09/2026,66500.0,62200.0,4300.0,0.06913183,62800.0,66500.0,62200.0,2714736.0,178232418000.0,0.0,0.0,2714736.0,178232418000.0,0.0,-6500.0,-6500.0,225104.0,0.0,-421700000.0,-421700000.0,14412158000.0
21/09/2026,62200.0,63900.0,-1700.0,-0.02660407,65000.0,65000.0,61800.0,795289.0,49786875600.0,922500.0,58947750000.0,1717789.0,108734625600.0,0.0,4000.0,4000.0,28000.0,0.0,250000000.0,250000000.0,1684010000.0
18/09/2026,63900.0,65000.0,-1100.0,-0.01692308,65400.0,67100.0,63900.0,1197935.0,78420957500.0,0.0,0.0,1197935.0,78420957500.0,15764.0,0.0,0.0,-15764.0,1053956400.0,0.0,0.0,-1053956400.0
17/09/2026,65000.0,62400.0,2600.0,0.04166667,62800.0,65500.0,62100.0,1572103.0,100905614000.0,0.0,0.0,1572103.0,100905614000.0,0.0,-9500.0,-9500.0,451201.0,0.0,-601400000.0,-601400000.0,28965673200.0
16/09/2026,62403.09,61700.0,1200.0,0.01944895,61510.2,63891.24,61510.2,1666058.0,105540629000.0,0.0,0.0,1666058.0,105540629000.0,0.0,-10000.0,-10000.0,391212.0,0.0,-634000000.0,-634000000.0,24834032400.0
15/09/2026,61212.57,57700.0,4000.0,0.06932409,56549.7,61212.57,56549.7,2261095.0,137353092700.0,0.0,0.0,2261095.0,137353092700.0,0.0,-5000.0,-5000.0,434875.0,0.0,-308500000.0,-308500000.0,26422817500.0
14/09/2026,57244.17,62000.0,-4300.0,-0.06935484,61014.15,61410.99,57244.17,2808500.0,165021368500.0,0.0,0.0,2808500.0,165021368500.0,0.0,9200.0,9200.0,-235565.0,0.0,548560000.0,548560000.0,-13644017500.0
11/09/2026,61510.2,63900.0,-1900.0,-0.02973396,63295.98,63692.82,61510.2,951770.0,59830778600.0,0.0,0.0,951770.0,59830778600.0,0.0,8000.0,8000.0,98606.0,0.0,500520000.0,500520000.0,6225338000.0
10/09/2026,63395.19,62900.0,1000.0,0.01589825,62502.3,64288.08,62502.3,975091.0,62377711300.0,0.0,0.0,975091.0,62377711300.0,0.0,-8000.0,-8000.0,-6771.0,0.0,-515300000.0,-515300000.0,-437357800.0
09/09/2026,62403.09,60600.0,2300.0,0.0379538,60022.05,62899.14,59922.84,1140143.0,70944759900.0,0.0,0.0,1140143.0,70944759900.0,0.0,-8000.0,-8000.0,20177.0,0.0,-498200000.0,-498200000.0,1215446800.0
08/09/2026,60121.26,61000.0,-400.0,-0.00655738,60617.31,61014.15,59922.84,793278.0,48265120500.0,0.0,0.0,793278.0,48265120500.0,-14209.0,0.0,0.0,14209.0,-869706700.0,0.0,0.0,869706700.0
07/09/2026,60518.1,62500.0,-1500.0,-0.024,62303.88,62303.88,60518.1,1307537.0,80660756800.0,0.0,0.0,1307537.0,80660756800.0,0.0,4000.0,4000.0,-67550.0,0.0,247600000.0,247600000.0,-4179380000.0
04/09/2026,62006.25,63500.0,-1000.0,-0.01574803,63295.98,63395.19,62006.25,1342773.0,84732411500.0,0.0,0.0,1342773.0,84732411500.0,0.0,8000.0,8000.0,-27840.0,0.0,500900000.0,500900000.0,-1781419000.0
03/09/2026,62998.35,64800.0,-1300.0,-0.02006173,64288.08,64883.34,62700.72,1020823.0,65608828800.0,0.0,0.0,1020823.0,65608828800.0,0.0,6000.0,6000.0,-2640.0,0.0,384000000.0,384000000.0,-172294200.0
28/08/2026,64288.08,65000.0,-200.0,-0.00307692,65379.39,65776.23,64288.08,1333358.0,86909458100.0,0.0,0.0,1333358.0,86909458100.0,173801.0,82977.0,0.0,-256778.0,11344415400.0,5379380100.0,0.0,-16723795500.0
27/08/2026,64486.5,65000.0,0.0,0.0,65379.39,66470.7,64486.5,909742.0,59815079300.0,0.0,0.0,909742.0,59815079300.0,-17892.0,142082.0,-4000.0,-124190.0,-1228348500.0,9322662499.0,-266000000.0,-8094314000.0
26/08/2026,64486.5,65000.0,0.0,0.0,64982.55,65081.76,64089.66,1066854.0,69364444000.0,0.0,0.0,1066854.0,69364444000.0,200128.0,156572.0,4000.0,-356700.0,12991342200.0,10189427800.0,259600000.0,-23180770000.0
25/08/2026,64486.5,67200.0,-2200.0,-0.0327381,66966.75,67264.38,64486.5,2293912.0,150698618600.0,0.0,0.0,2293912.0,150698618600.0,68592.0,373304.0,4000.0,-441896.0,4522240901.0,24498393900.0,266000000.0,-29020634800.0
24/08/2026,66669.12,68200.0,-1000.0,-0.01466276,68454.9,68950.95,66669.12,1514187.0,103393551800.0,0.0,0.0,1514187.0,103393551800.0,-24854.0,-74765.0,100.0,99619.0,-1623724600.0,-5178635000.0,6770000.0,6802359600.0
21/08/2026,67661.22,65000.0,3200.0,0.04923077,64982.55,68454.9,64486.5,1837724.0,123337856800.0,0.0,0.0,1837724.0,123337856800.0,-381222.0,158708.0,-6000.0,222514.0,-25613193500.0,10631426500.0,-402800000.0,14981767000.0
20/08/2026,64486.5,64800.0,200.0,0.00308642,64585.71,65974.65,64288.08,769002.0,50202470500.0,0.0,0.0,769002.0,50202470500.0,-105477.0,117877.0,3000.0,-12400.0,-6877226900.0,7686916900.0,194400000.0,-809690000.0
19/08/2026,64288.08,67800.0,-3000.0,-0.04424779,67462.8,67462.8,64188.87,1353789.0,89531983100.0,0.0,0.0,1353789.0,89531983100.0,47146.0,-34172.0,8000.0,-12974.0,3114285500.0,-2215374000.0,529600000.0,-898911500.0
18/08/2026,67264.38,67800.0,0.0,0.0,67859.64,69347.79,66669.12,1285223.0,87987578200.0,0.0,0.0,1285223.0,87987578200.0,101580.0,-47880.0,0.0,-53700.0,6911221000.0,-3231881000.0,0.0,-3679340000.0
17/08/2026,67264.38,67500.0,300.0,0.00444444,67264.38,68058.06,66371.49,622287.0,42056600800.0,0.0,0.0,622287.0,42056600800.0,-76546.0,75816.0,100.0,730.0,-5191833900.0,5146195900.0,6780000.0,45638000.0
14/08/2026,66966.75,71500.0,-4000.0,-0.05594406,70439.1,70439.1,66470.7,2228187.0,152990871900.0,0.0,0.0,2228187.0,152990871900.0,144473.0,193927.0,3100.0,-338400.0,10085926001.0,13331810300.0,211080000.0,-23417736300.0
13/08/2026,70935.15,75300.0,-3800.0,-0.05046481,74705.13,75796.44,70736.73,2602192.0,190223085500.0,0.0,0.0,2602192.0,190223085500.0,-232959.0,496559.0,0.0,-263600.0,-16757771900.0,36336771900.0,0.0,-19579000000.0
12/08/2026,74705.13,74300.0,1000.0,0.01345895,74506.71,77086.17,73812.24,2200491.0,167095701600.0,0.0,0.0,2200491.0,167095701600.0,253094.0,157056.0,200.0,-410150.0,19334324099.0,11926225900.0,15380000.0,-31260550000.0
11/08/2026,73713.03,69500.0,4800.0,0.06906475,69447.0,73713.03,68554.11,3297954.0,240008673500.0,0.0,0.0,3297954.0,240008673500.0,-336031.0,257330.0,-1900.0,78701.0,-24607921100.0,18809090400.0,-134500000.0,5798830700.0
10/08/2026,68950.95,67100.0,2400.0,0.03576751,66966.75,69943.05,66669.12,1069756.0,73984838900.0,0.0,0.0,1069756.0,73984838900.0,-202835.0,9425.0,-6900.0,193410.0,-14018709400.0,585703400.0,-474690000.0,13433006000.0
07/08/2026,66569.91,67900.0,-800.0,-0.01178203,67363.59,67958.85,66371.49,756953.0,51078194200.0,0.0,0.0,756953.0,51078194200.0,154808.0,-90808.0,-1900.0,-64000.0,10427451800.0,-6127331800.0,-130400000.0,-4300120000.0
06/08/2026,67363.59,69900.0,-2000.0,-0.0286123,69050.16,69050.16,67165.17,1087128.0,74419066700.0,396000.0,29462400000.0,1483128.0,103881466700.0,-101501.0,-39782.0,4000.0,141283.0,-6889243500.0,-2697991800.0,271600000.0,9587235300.0
05/08/2026,69347.79,70000.0,-100.0,-0.00142857,70042.26,71431.2,69149.37,1062865.0,75012781600.0,4347000.0,284728500000.0,5409865.0,359741281600.0,-53255.0,111755.0,-7000.0,-58500.0,-3806928000.0,7957688000.0,-497800000.0,-4150760000.0
04/08/2026,69447.0,67800.0,2200.0,0.03244838,67462.8,69843.84,66569.91,1202140.0,82713258000.0,0.0,0.0,1202140.0,82713258000.0,-101054.0,62305.0,0.0,38749.0,-6960576699.0,4342274600.0,0.0,2618302100.0
03/08/2026,67264.38,66800.0,1000.0,0.01497006,66669.12,69943.05,66470.7,1235219.0,84874171000.0,0.0,0.0,1235219.0,84874171000.0,-150444.0,28259.0,-8000.0,122185.0,-10388799900.0,1948942900.0,-545900000.0,8439857000.0
31/07/2026,66272.28,66900.0,-100.0,-0.00149477,66966.75,67462.8,65081.76,983729.0,65455229700.0,0.0,0.0,983729.0,65455229700.0,59717.0,60664.0,7000.0,-120381.0,4009215700.0,4039446500.0,461900000.0,-8048662200.0
30/07/2026,66371.49,63600.0,3300.0,0.05188679,63593.61,67462.8,63593.61,1469902.0,97378877900.0,0.0,0.0,1469902.0,97378877900.0,-68483.0,95381.0,-8400.0,-26898.0,-4265845200.0,6320115400.0,-548840000.0,-2054270200.0
29/07/2026,63097.56,63500.0,100.0,0.0015748,63494.4,64288.08,62899.14,627627.0,40030942000.0,0.0,0.0,627627.0,40030942000.0,38959.0,-51569.0,0.0,12610.0,2474452800.0,-3293739800.0,0.0,819287000.0
28/07/2026,62998.35,63500.0,0.0,0.0,60815.73,65280.18,60716.52,899811.0,57744240400.0,0.0,0.0,899811.0,57744240400.0,-26949.0,-125361.0,0.0,152310.0,-1699571200.0,-7951921800.0,0.0,9651493000.0
27/07/2026,62998.35,67900.0,-4400.0,-0.06480118,67462.8,67661.22,62700.72,1385771.0,89601707500.0,0.0,0.0,1385771.0,89601707500.0,246613.0,46427.0,4000.0,-293040.0,16118502000.0,3141153000.0,263600000.0,-19259655000.0
24/07/2026,67363.59,71200.0,-3300.0,-0.04634831,70637.52,70736.73,67264.38,686597.0,47546835100.0,0.0,0.0,686597.0,47546835100.0,40884.0,28299.0,0.0,-69183.0,2868018400.0,1974913300.0,0.0,-4842931700.0
23/07/2026,70637.52,66600.0,4600.0,0.06906907,66272.28,70637.52,64784.13,1419391.0,97898982000.0,0.0,0.0,1419391.0,97898982000.0,-420758.0,68148.0,-5000.0,352610.0,-28969718600.0,4948798600.0,-352500000.0,24020920000.0
22/07/2026,66073.86,71000.0,-4400.0,-0.06197183,68454.9,71431.2,66073.86,2364624.0,161360931800.0,0.0,0.0,2364624.0,161360931800.0,724391.0,-1116000.0,-909500.0,391609.0,48614347600.0,-75534572300.0,-61297670000.0,26920224700.0
21/07/2026,70439.1,76000.0,-5000.0,-0.06578947,74903.55,75994.86,70339.89,1111672.0,80914804400.0,0.0,0.0,1111672.0,80914804400.0,112330.0,55140.0,4000.0,-167470.0,8212808400.0,4130705600.0,300400000.0,-12343514000.0
20/07/2026,75399.6,81300.0,-5300.0,-0.06519065,80260.89,80260.89,75101.97,1121185.0,86346686700.0,0.0,0.0,1121185.0,86346686700.0,19710.0,110540.0,-1800.0,-130250.0,1501284200.0,8577937800.0,-130540000.0,-10079222000.0
17/07/2026,80657.73,82100.0,-800.0,-0.00974421,81649.83,83534.82,80360.1,894191.0,73751689100.0,0.0,0.0,894191.0,73751689100.0,165608.0,-101418.0,100.0,-64190.0,13653040700.0,-8350178700.0,8150000.0,-5302862000.0
16/07/2026,81451.41,80000.0,2100.0,0.02625,79665.63,82641.93,74903.55,2083168.0,165255051000.0,0.0,0.0,2083168.0,165255051000.0,94787.0,-135397.0,-1900.0,40610.0,7043170200.0,-10831402600.0,-168620000.0,3788232400.0
15/07/2026,79368.0,81900.0,-1900.0,-0.02319902,81352.2,81352.2,78375.9,704324.0,56479100000.0,0.0,0.0,704324.0,56479100000.0,35033.0,-52103.0,4000.0,17070.0,2855754500.0,-4186326500.0,318800000.0,1330572000.0
14/07/2026,81252.99,80400.0,1500.0,0.01865672,79764.84,81550.62,79764.84,1027394.0,83578091900.0,0.0,0.0,1027394.0,83578091900.0,-170963.0,54603.0,-3200.0,116360.0,-13902205400.0,4436185700.0,-261090000.0,9466019700.0
13/07/2026,79764.84,80100.0,300.0,0.00374532,79665.63,80856.15,78475.11,1085756.0,87109960600.0,0.0,0.0,1085756.0,87109960600.0,-105667.0,-42743.0,-1000.0,148410.0,-8529974000.0,-3345347000.0,-85100000.0,11875321000.0
10/07/2026,79467.21,81000.0,-900.0,-0.01111111,80558.52,81649.83,78375.9,773239.0,62272206700.0,0.0,0.0,773239.0,62272206700.0,183425.0,-71860.0,4000.0,-111565.0,14726742000.0,-5730781000.0,318000000.0,-8995961000.0
09/07/2026,80360.1,84800.0,-3800.0,-0.04481132,84130.08,84229.29,80062.47,1356744.0,111369286500.0,0.0,0.0,1356744.0,111369286500.0,-28138.0,44008.0,7000.0,-15870.0,-2258600500.0,3558193400.0,577800000.0,-1299592900.0
08/07/2026,84130.08,86000.0,-1200.0,-0.01395349,85717.44,86808.75,83634.03,768421.0,65610445300.0,0.0,0.0,768421.0,65610445300.0,227316.0,-225548.0,0.0,-1768.0,19372269000.0,-19214856100.0,0.0,-157412900.0
07/07/2026,85320.6,83000.0,3000.0,0.03614458,82741.14,87800.85,81947.46,1569982.0,134998386500.0,0.0,0.0,1569982.0,134998386500.0,121596.0,-173108.0,-100.0,51512.0,10560692700.0,-14897617300.0,-8590000.0,4336924600.0
06/07/2026,82344.3,88200.0,-5200.0,-0.05895692,88197.69,88197.69,81451.41,3047896.0,255583445300.0,0.0,0.0,3047896.0,255583445300.0,195243.0,38829.0,-100.0,-234072.0,16040062100.0,3275615200.0,-8230000.0,-19315677300.0
03/07/2026,87503.22,89800.0,-1600.0,-0.01781737,89289.0,89289.0,87404.01,988028.0,87566512000.0,0.0,0.0,988028.0,87566512000.0,34363.0,88605.0,0.0,-122968.0,3066348600.0,7875913400.0,0.0,-10942262000.0
02/07/2026,89090.58,90900.0,-1100.0,-0.01210121,90578.73,90876.36,89090.58,986171.0,89092246800.0,0.0,0.0,986171.0,89092246800.0,-111499.0,163818.0,0.0,-52319.0,-10048041801.0,14805016700.0,0.0,-4756974900.0
01/07/2026,90181.89,92300.0,-1400.0,-0.01516793,92265.3,92265.3,90181.89,1143616.0,104268153400.0,0.0,0.0,1143616.0,104268153400.0,-65598.0,86845.0,0.0,-21247.0,-5980400400.0,7914345300.0,0.0,-1933944900.0
30/06/2026,91570.83,92300.0,0.0,0.0,92265.3,93753.45,91570.83,1654288.0,154326108900.0,0.0,0.0,1654288.0,154326108900.0,-109488.0,-6212.0,0.0,115700.0,-10329006100.0,-564693900.0,0.0,10893700000.0
29/06/2026,91570.83,90200.0,2100.0,0.0232816,90479.52,93852.66,89785.05,1340041.0,124491293100.0,0.0,0.0,1340041.0,124491293100.0,18363.0,58937.0,-225.0,-77300.0,1719367401.0,5437452600.0,-20701000.0,-7156820000.0
26/06/2026,89487.42,90000.0,200.0,0.00222222,89785.05,91471.62,88495.32,952936.0,86489357100.0,0.0,0.0,952936.0,86489357100.0,-14646.0,30046.0,-100.0,-15400.0,-1305973000.0,2694313000.0,-9090000.0,-1388340000.0
25/06/2026,89289.0,91800.0,-1800.0,-0.01960784,91670.04,91670.04,88991.37,808145.0,73210944100.0,0.0,0.0,808145.0,73210944100.0,-54505.0,120205.0,0.0,-65700.0,-4944366000.0,10933676000.0,0.0,-5989310000.0
24/06/2026,91074.78,90200.0,1600.0,0.01773836,90677.94,92265.3,87304.8,1384423.0,124941032800.0,0.0,0.0,1384423.0,124941032800.0,-114393.0,9716.0,0.0,104677.0,-10395362499.0,958208900.0,0.0,9437153600.0
23/06/2026,89487.42,91600.0,-1400.0,-0.01528384,91868.46,92463.72,89289.0,1065345.0,97580464400.0,0.0,0.0,1065345.0,97580464400.0,-43325.0,29574.0,0.0,13751.0,-3997508300.0,2731147500.0,0.0,1266360800.0
22/06/2026,90876.36,93000.0,-1400.0,-0.01505376,92959.77,92959.77,88991.37,1954561.0,177917979700.0,0.0,0.0,1954561.0,177917979700.0,57962.0,141344.0,0.0,-199306.0,5507513100.0,12756346900.0,0.0,-18263860000.0
19/06/2026,92265.3,94700.0,-1700.0,-0.01795143,94745.55,94745.55,92066.88,1827853.0,170363480000.0,0.0,0.0,1827853.0,170363480000.0,72704.0,226781.0,0.0,-299485.0,6849616900.0,21105302600.0,0.0,-27954919500.0
18/06/2026,93951.87,95900.0,-1200.0,-0.01251303,96035.28,96531.33,93158.19,1508001.0,143175677400.0,0.0,0.0,1508001.0,143175677400.0,132629.0,67344.0,0.0,-199973.0,12849246300.0,6295693800.0,0.0,-19144940100.0
17/06/2026,95142.39,94000.0,1900.0,0.02021277,94943.97,98019.48,93257.4,2104433.0,203377555800.0,0.0,0.0,2104433.0,203377555800.0,-428570.0,128420.0,0.0,300150.0,-41221655600.0,12353515600.0,0.0,28868140000.0
16/06/2026,93257.4,95200.0,-1200.0,-0.01260504,95440.02,95638.44,92265.3,1221260.0,114974862300.0,0.0,0.0,1221260.0,114974862300.0,-161367.0,190567.0,100.0,-29200.0,-15075390600.0,17856310600.0,9490000.0,-2780920000.0
15/06/2026,94447.92,92700.0,2500.0,0.02696872,92761.35,97225.8,92761.35,1858962.0,178321648500.0,0.0,0.0,1858962.0,178321648500.0,-325979.0,90579.0,-275.0,235400.0,-31216437500.0,8664797500.0,-26414000.0,22551640000.0
12/06/2026,91967.67,95500.0,-2800.0,-0.02931937,96233.7,96233.7,91967.67,996082.0,94612311900.0,0.0,0.0,996082.0,94612311900.0,121676.0,-34761.0,0.0,-86915.0,11670959000.0,-3392926400.0,0.0,-8278032600.0
11/06/2026,94745.55,97400.0,-1900.0,-0.01950719,95241.6,97225.8,93852.66,1111539.0,106485129600.0,0.0,0.0,1111539.0,106485129600.0,-43618.0,26518.0,0.0,17100.0,-4074441000.0,2451001000.0,0.0,1623440000.0
10/06/2026,96630.54,97200.0,200.0,0.00205761,96432.12,97721.85,94051.08,1204990.0,116509809500.0,0.0,0.0,1204990.0,116509809500.0,-16984.0,49034.0,0.0,-32050.0,-1484125300.0,4549217800.0,0.0,-3065092500.0
09/06/2026,96432.12,95500.0,1700.0,0.01780105,95241.6,96432.12,90479.52,1555680.0,146127402700.0,0.0,0.0,1555680.0,146127402700.0,-98410.0,140607.0,100.0,-42197.0,-9080621599.0,13022690600.0,9220000.0,-3942069000.0
08/06/2026,94746.34368,102000.0,-6000.0,-0.05882353,100667.99016,100667.99016,93956.790816,1768645.0,173122909900.0,0.0,0.0,1768645.0,173122909900.0,-281463.0,295527.0,100.0,-14064.0,-27511790900.0,28961208100.0,9700000.0,-1449417200.0
05/06/2026,100667.99016,104000.0,-2000.0,-0.01923077,104122.28394,104122.28394,100470.601944,892713.0,91731730800.0,0.0,0.0,892713.0,91731730800.0,-218275.0,224573.0,0.0,-6298.0,-22369826700.0,23033261300.0,0.0,-663434600.0
04/06/2026,102641.87232,102000.0,2000.0,0.01960784,101753.625348,104517.060372,98990.190324,1544789.0,159025961100.0,0.0,0.0,1544789.0,159025961100.0,-137614.0,199014.0,0.0,-61400.0,-13808078700.0,20043998700.0,0.0,-6235920000.0
03/06/2026,100667.99016,101500.0,500.0,0.00492611,100174.51962,101654.93124,98792.802108,811581.0,82382195300.0,0.0,0.0,811581.0,82382195300.0,-75637.0,56632.0,300.0,19005.0,-7623123299.0,5708008800.0,30520000.0,1915114500.0
02/06/2026,100174.51962,105000.0,-3500.0,-0.03333333,104615.75448,106096.1661,100174.51962,1009566.0,104539840800.0,0.0,0.0,1009566.0,104539840800.0,-179604.0,168902.0,0.0,10702.0,-18609538900.0,17397741900.0,0.0,1211797000.0
01/06/2026,103628.8134,102100.0,2900.0,0.02840353,101654.93124,106589.63664,98792.802108,1756793.0,181022273400.0,0.0,0.0,1756793.0,181022273400.0,-219675.0,197275.0,-500.0,22400.0,-22994058800.0,20585258800.0,-50690000.0,2408800000.0
29/05/2026,100766.684268,107800.0,-5700.0,-0.0528757,107576.57772,109451.765772,100766.684268,2071506.0,218060615400.0,0.0,0.0,2071506.0,218060615400.0,-220367.0,218689.0,-15100.0,1678.0,-23180006400.0,22980050700.0,-1561160000.0,199955700.0
28/05/2026,106392.248424,112000.0,-4200.0,-0.0375,111524.34204,111524.34204,106392.248424,1352640.0,147238450800.0,1085000.0,116963000000.0,2437640.0,264201450800.0,-233277.0,248874.0,-500.0,-15597.0,-25319609600.0,27073200500.0,-54300000.0,-1753590900.0
27/05/2026,110537.40096,107800.0,4200.0,0.03896104,107576.57772,113498.2242,106392.248424,2120856.0,237249248300.0,3915000.0,422037000000.0,6035856.0,659286248300.0,-517764.0,455257.0,-14600.0,62507.0,-58105370700.0,51210704100.0,-1632710000.0,6894666600.0
26/05/2026,106392.248424,111000.0,-3200.0,-0.02882883,110734.789176,111721.730256,106392.248424,1023599.0,111601299900.0,0.0,0.0,1023599.0,111601299900.0,-290450.0,321142.0,0.0,-30692.0,-31552351100.0,34934025600.0,0.0,-3381674500.0
25/05/2026,109550.45988,108800.0,2200.0,0.02022059,107576.57772,112313.894904,107379.189504,1103829.0,122716084300.0,0.0,0.0,1103829.0,122716084300.0,-152128.0,191006.0,0.0,-38878.0,-16974243000.0,21270720700.0,0.0,-4296477700.0
22/05/2026,107379.189504,113500.0,-4700.0,-0.04140969,113498.2242,113498.2242,106096.1661,1673021.0,182655942300.0,0.0,0.0,1673021.0,182655942300.0,-210543.0,330122.0,-15200.0,-119579.0,-22980548200.0,36306946800.0,-1640650000.0,-13326398600.0
21/05/2026,112017.81258,117900.0,-4400.0,-0.03731976,117939.45906,117939.45906,112017.81258,1163136.0,133884982600.0,1796000.0,197560000000.0,2959136.0,331444982600.0,-205683.0,269672.0,-200.0,-63989.0,-23723773700.0,31238198600.0,-22880000.0,-7514424900.0
20/05/2026,116360.353332,121300.0,-3400.0,-0.02802968,120900.2823,121196.364624,113498.2242,993717.0,117653407700.0,0.0,0.0,993717.0,117653407700.0,-116473.0,72615.0,-100.0,43858.0,-13732260700.0,8668155800.0,-11980000.0,5064104900.0
19/05/2026,119715.953004,119800.0,1500.0,0.01252087,119518.564788,123268.940892,118136.847276,1710764.0,208231132500.0,0.0,0.0,1710764.0,208231132500.0,-226238.0,5739.0,0.0,220499.0,-27494488500.0,974880100.0,0.0,26519608400.0
18/05/2026,118235.541384,121000.0,-1200.0,-0.00991736,119913.34122,120406.81176,115373.412252,1218346.0,144739383300.0,0.0,0.0,1218346.0,144739383300.0,-218148.0,109747.0,-200.0,108401.0,-25783965200.0,12910914900.0,-23780000.0,12873050300.0
15/05/2026,119419.87068,124000.0,-3000.0,-0.02419355,122972.858568,125440.211268,118926.40014,1428989.0,176296348600.0,0.0,0.0,1428989.0,176296348600.0,-405157.0,406355.0,23500.0,-1198.0,-50132154499.0,50307948900.0,2847630000.0,-175794400.0
14/05/2026,122380.69392,126500.0,-2500.0,-0.01976285,126328.45824,126328.45824,118432.9296,1115680.0,137818627400.0,4000000.0,472000000000.0,5115680.0,609818627400.0,44443.0,242169.0,-100.0,-286612.0,5754358999.0,29750480400.0,-12210000.0,-35504839400.0
13/05/2026,124848.04662,124200.0,2300.0,0.01851852,122380.69392,126328.45824,115472.10636,2280510.0,275818667300.0,0.0,0.0,2280510.0,275818667300.0,-515292.0,386790.0,0.0,128502.0,-61681588300.0,46525457300.0,0.0,15156131000.0
12/05/2026,122578.082136,133000.0,-8800.0,-0.06616541,132348.798828,132348.798828,122578.082136,1708206.0,216317520400.0,0.0,0.0,1708206.0,216317520400.0,-117800.0,161010.0,-300.0,-43210.0,-14537802400.0,20532572400.0,-38100000.0,-5994770000.0
11/05/2026,131263.16364,128000.0,5000.0,0.0390625,127315.39932,135112.233852,124354.57608,2667197.0,357644773300.0,0.0,0.0,2667197.0,357644773300.0,-1239339.0,486045.0,0.0,753294.0,-166785299100.0,65909449900.0,0.0,100875849200.0
08/05/2026,126328.45824,122100.0,5900.0,0.04832105,121887.22338,128894.505048,115472.10636,2423938.0,305200138600.0,0.0,0.0,2423938.0,305200138600.0,-660477.0,393222.0,21200.0,267255.0,-83329327900.0,48815351400.0,2720150000.0,34513976500.0
07/05/2026,120505.505868,114200.0,7900.0,0.06917688,114485.16528,120505.505868,114485.16528,3142132.0,380398735600.0,0.0,0.0,3142132.0,380398735600.0,-1171899.0,776054.0,-1700.0,395845.0,-141530890700.0,93732001700.0,-206310000.0,47798889000.0
06/05/2026,112708.671336,106800.0,7400.0,0.06928839,106589.63664,112708.671336,106589.63664,1902872.0,212961945400.0,0.0,0.0,1902872.0,212961945400.0,-573312.0,631157.0,9000.0,-57845.0,-64217901000.0,70658877000.0,996700000.0,-6440976000.0
05/05/2026,105405.307344,99900.0,6920.0,0.06928314,103135.34286,105405.307344,102641.87232,1555653.0,165564769200.0,0.0,0.0,1555653.0,165564769200.0,33086.0,-61286.0,0.0,28200.0,3324313300.0,-6245713300.0,0.0,2921400000.0
04/05/2026,98576.3856679776,174900.0,-100.0,-0.00057176,99253.111427712,99535.080494268,96320.6331355296,771235.0,134072455300.0,0.0,0.0,771235.0,134072455300.0,-184983.0,19476.0,0.0,165507.0,-32128711000.0,3176899000.0,0.0,28951812000.0
29/04/2026,98632.7794812888,177000.0,-2100.0,-0.01186441,100493.7753205584,100493.7753205584,97392.1155884424,388674.0,67699043200.0,175000.0,30975000000.0,563674.0,98674043200.0,45713.0,-24451.0,0.0,-21262.0,8091700800.0,-4324926800.0,0.0,-3766774000.0
28/04/2026,99817.049560824,175000.0,2000.0,0.01142857,99817.049560824,102072.802093272,98463.5980413552,608894.0,108144591700.0,0.0,0.0,608894.0,108144591700.0,-214903.0,219002.0,-1700.0,-4099.0,-38168497700.0,38914738700.0,-301840000.0,-746241000.0
24/04/2026,98689.1732946,177900.0,-2900.0,-0.01630129,101226.894893604,101226.894893604,96602.6022020856,401357.0,69706553100.0,0.0,0.0,401357.0,69706553100.0,-5196.0,14996.0,-6500.0,-9800.0,-619679100.0,2401069100.0,-1125770000.0,-1781390000.0
23/04/2026,100324.5938806248,182400.0,-4500.0,-0.02467105,103764.616492608,103764.616492608,95869.48262904,1112420.0,195728408300.0,0.0,0.0,1112420.0,195728408300.0,-34733.0,169703.0,-100.0,-134970.0,-5330330800.0,29303623800.0,-17970000.0,-23973293000.0
22/04/2026,102862.3154796288,188000.0,-5600.0,-0.02978723,106584.307158168,107712.183424392,101565.2577734712,766177.0,141559689000.0,0.0,0.0,766177.0,141559689000.0,6442.0,958.0,0.0,-7400.0,2158702800.0,-785482800.0,0.0,-1373220000.0
21/04/2026,106020.369025056,192000.0,-4000.0,-0.02083333,109403.997823728,111659.750356176,105963.9752117448,785330.0,151569114100.0,0.0,0.0,785330.0,151569114100.0,370977.0,-241377.0,0.0,-129600.0,72087838800.0,-46945308800.0,0.0,-25142530000.0
20/04/2026,108276.121557504,179500.0,12500.0,0.06963788,101790.833026716,108276.121557504,101339.6825202264,1546473.0,291635779300.0,0.0,0.0,1546473.0,291635779300.0,167991.0,-245691.0,0.0,77700.0,32556058500.0,-46773228500.0,0.0,14217170000.0
17/04/2026,101226.894893604,187100.0,-7600.0,-0.04061999,106358.7319049232,106358.7319049232,101226.894893604,582262.0,105674841700.0,0.0,0.0,582262.0,105674841700.0,76.0,126674.0,-4200.0,-126750.0,247931000.0,22887509000.0,-755980000.0,-23135440000.0
